texts,texts_deepcut,action,object,destination
จะสอบถามเกี่ยวค่าบริการ เดือนแรก มี ใบ อ่ะครับ ไม่เข้าใจ,จะ สอบถาม เกี่ยว ค่า บริการ เดือน แรก มี ใบ อ่ะ ครับ ไม่ เข้าใจ,enquire,bill,billing and payment
ครับ พอดีไม่มีสัญญาณอ่ะครับ,ครับ พอดี ไม่ มี สัญญาณ อ่ะครับ,report,phone_issues,billing and payment
ค่ะพี่ ขอรบกวนหน่อยนะค่ะพอดี ซิม ถูก ล็อค นะค่ะ,ค่ะ พี่ ขอ รบกวน หน่อย นะ ค่ะ พอดี ซิม ถูก ล็อค นะค่ะ,enquire,suspend,billing and payment
ครับผม ต้องการยกเลิก sms ที่เสียตังค์ครับ ,ครับ ผม ต้องการ ยกเลิก sms ที่ เสีย ตังค์ ครับ ,cancel,service,other queries
จะสมัครโปรเน็ตค่ะ,จะ สมัคร โปรเน็ตค่ะ,enquire,promotion,promotions
อายุของโปรโมชั่นหมดไปยัง,อายุ ของ โปรโมชั่นหมดไป ยัง,enquire,package,promotions
ขอยกเลิกไอ โปรโมชั่นทุกอย่าง ทั้งหมดเลย,ขอ ยกเลิก ไอ โปรโมชั่น ทุก อย่าง ทั้งหมดเลย,cancel,service,other queries
ซิมทรูเอชใส่ในไอแพด ไม่สามารถเข้าอินเตอร์เน็ตได้ เพราะอะไรคะ,ซิมทรูเอช ใส่ ใน ไอแพด ไม่ สามารถ เข้า อินเตอร์เน็ต ได้ เพราะ อะไร คะ,enquire,internet,internet
อยากเปลี่ยน โปรโมชั่นค่าโทร,อยาก เปลี่ยน โปรโมชั่นค่าโทร,change,package,promotions
ต้องการยกเลิก อินเตอร์เน็ต ครับ,ต้องการ ยกเลิก อินเตอร์เน็ต ครับ,cancel,service,other queries
คือ อ่า จะสอบถามเรื่องเกี่ยวกับทรูมูฟกับทรูเอชเนี่ยคะ มันเป็นคนละส่วนกันเหรอคะ,คือ อ่า จะ สอบถาม เรื่อง เกี่ยว กับ ทรูมูฟ กับ ทรูเอชเนี่ย คะ มัน เป็น คน ละ ส่วน กัน เหรอคะ,enquire,service,other queries
คือจะสอบถามคะ ว่าซิมนี้ทำไมสมัครใช้อินเตอร์เนตไม่ได้คะ,คือ จะ สอบถาม คะ ว่า ซิม นี้ ทำไม สมัคร ใช้ อินเตอร์เนต ไม่ ได้คะ,enquire,internet,internet
อยากสอบถามเกี่ยวกับโปรโมชั่น ของผมมันหมดหรือยังครับพี่,อยาก สอบถาม เกี่ยว กับ โปรโมชั่น   ของ ผม มัน หมด หรือ ยัง ครับ พี่,enquire,promotion,promotions
พอดีเพิ่งจ่ายค่าบริการไปแล้วมันยังโดนระงับสัญญาณ จะให้ช่วยเปิดบริการให้หน่อยค่ะ,พอดี เพิ่ง จ่าย ค่า บริการ ไป แล้ว มัน ยัง โดน ระงับ สัญญาณ จะ ให้ ช่วย เปิด บริการ ให้ หน่อย ค่ะ,report,suspend,billing and payment
สวัสดีครับ พอดีจะโทรมาสอบถาม พอดีซิมไม่ได้เติมเงิน คราวนี้จะพอเติมเงินแบบว่าหมายเลขถูกยกเลิก,สวัสดี ครับ พอดี จะ โทร มา สอบถาม พอดีซิม ไม่ ได้ เติม เงิน คราว นี้ จะ พอ เติม เงิน แบบ ว่า หมายเลข ถูก ยกเลิก,report,suspend,billing and payment
ผมมีแอร์การ์ด AIS ซิมของผมนี้ เล็นเน็ตได้ไหม จะเอาซิมของผมมาใส่แอร์การ์ดเล่นเน็ตได้ไหม,ผม มีแอร์การ์ด AIS ซิม ของ ผม นี้ เล็น เน็ต ได้ ไหม จะ เอา ซิม ของ ผม มา ใส่ แอร์การ์ด เล่น เน็ต ได้ ไหม,enquire,internet,internet
อยากเพิ่มวงเงินหน่ะค่ะ ขอเลื่อนไปจ่ายวันอื่นได้ไหมค่ะ เค้าตัดสัญญาณคะ,อยาก เพิ่ม วง เงิน หน่ะ ค่ะ ขอ เลื่อน ไป จ่าย วัน อื่น ได้ ไหม ค่ะ เค้า ตัด สัญญาณ คะ,enquire,credit,billing and payment
เปิดเน็ตไม่ได้,เปิด เน็ต ไม่ ได้,enquire,internet,internet
อยากจะขอเปลี่ยนโปรโมชั่นหน่อยอ่ะค่ะ,อยาก จะ ขอ เปลี่ยน โปรโมชั่น หน่อย อ่ะ ค่ะ,change,package,promotions
ตอนนี้ใช้มือถืออยู่แถวพระโขนง แต่ทำไมตอนนี้ โน เซอร์วิส หมดเลย,ตอน นี้ ใช้ มือถือ อยู่ แถว พระโขนง แต่ ทำไม ตอน นี้ โน เซอร์วิส หมดเลย,enquire,service,other queries
ทำไมโทรศัพท์มันโทรออกไม่ได้ละคะ,ทำไม โทรศัพท์ มัน โทร ออก ไม่ ได้ ละ คะ,report,phone_issues,billing and payment
จะสอบถามเกี่ยวกับโทรศัพท์พื้นฐานครับ,จะ สอบถาม เกี่ยว กับ โทรศัพท์ พื้นฐาน ครับ,enquire,nontruemove,other queries
ซื้อซิมมาแล้วมันเล่นเน็ตไม่ได้อ่ะค่ะ,ซื้อ ซิม มา แล้ว มัน เล่น เน็ต ไม่ ได้ อ่ะ ค่ะ,enquire,internet,internet
สวัสดีค่ะ คือว่า เอ่อ พอดีว่า พี่เพิ่งไปซื้อซิมมาจาก เซเว่น อยากทราบว่ามันมีเงื่อนไขหรือโปรโมชั่นอะไรบ้างค่ะ,สวัสดี ค่ะ คือ ว่า เอ่อ พอดี ว่า พี่ เพิ่ง ไป ซื้อ ซิม มา จาก เซเว่น อยาก ทราบ ว่า มัน มี เงื่อนไข หรือ โปรโมชั่น อะไร บ้าง ค่ะ,enquire,package,promotions
"คือว่าผมสมัคร package ผมใช้แบบเติมเงิน ผมสมัครinternet MB บาทไว้ครับ แล้วทีนี้ Internet มันหมด แล้วผมก็เลยสมคัรให้เป็น
 MB แล้วมี SMS มาแจ้งว่าpackage MB ของผมจะหมดอายุแล้วจะต่อให้อัตโนมัติ ผมจะยกเลิกไง เข้าใจปะครับ"," คือ ว่า ผม สมัคร package ผม ใช้ แบบ เติม เงิน ผม สมัคร internet MB บาท ไว้ ครับ แล้ว ที นี้ Internet มัน หมด แล้ว ผม ก็ เลย สมคัร ให้ เป็น
 MB แล้ว มี SMS มา แจ้ง ว่า package MB ของ ผม จะ หมด อายุ แล้ว จะ ต่อ ให้ อัตโนมัติ ผม จะ ยกเลิก ไง เข้าใจ ปะครับ ",enquire,nontruemove,other queries
สอบถามสาเหตุหมายเลขใช้งานไม่ได้,สอบถาม สาเหตุ หมาย เลข ใช้ งาน ไม่ ได้,report,suspend,billing and payment
ผมจะเปลี่ยนโปร บีบี อ่ะครับ ผมเป็นโปร บีบี อยู่แล้ว บาท จะเพิ่มเป็น บาท ได้มั้ยครับ,ผม จะ เปลี่ยน โปร บีบี อ่ะ ครับ ผม เป็น โปร บีบี อยู่แล้ว บาท จะ เพิ่ม เป็น บาท ได้ มั้ย ครับ,change,package,promotions
จะขอแจ้งยกเลิกอินเตอร์เน็ตที่ใช้ค่ะ,จะ ขอ แจ้ง ยกเลิก อินเตอร์เน็ต ที่ ใช้ ค่ะ,cancel,service,other queries
จะยกเลิกเพกเกจอินเตอร์เน็ตค่ะ,จะ ยกเลิก เพกเกจ อินเตอร์เน็ต ค่ะ,cancel,service,other queries
อยากจะให้ลดโปรโมชั่นการใช้งานมือถือลง,อยาก จะ ให้ ลด โปรโมชั่น การ ใช้ งาน มือ ถือลง,enquire,promotion,promotions
พอดีหนูเห็นมีค่าโทรศัพท์มาหนะค่ะ หนูคิดว่าหนูยกเลิกไปตั้งนานแล้วอะค่ะ,พอดี หนู เห็น มี ค่า โทรศัพท์ มา หนะ ค่ะ หนู คิด ว่า หนู ยกเลิก ไป ตั้ง นาน แล้ว อะค่ะ,enquire,bill,billing and payment
เบอร์ถูกระงับต้องทำไง,เบอร์ ถูก ระงับ ต้อง ทำไง,report,suspend,billing and payment
จะแจ้งโทรศัพท์หายค่ะ,จะ แจ้ง โทรศัพท์ หายค่ะ,report,lost_stolen,lost and stolen
ช่วยตรวจสอบซีดีอาร์ให้หน่อย อยากรู้ว่าทำไมค่าโทรสูงจัง,ช่วย ตรวจสอบ ซีดีอาร์ ให้ หน่อย อยาก รู้ ว่า ทำไม ค่า โทร สูงจัง,enquire,bill,billing and payment
ต้องการ สมัครแพคเกจ บีบีเอ็ม สมัครอย่างไร,ต้องการ สมัคร แพคเกจ บีบีเอ็ม สมัคร อย่าง ไร,buy,package,promotions
ฮาโหลครับ จะสอบถามเบอร์นี้ยังถูกระงับอยู่เลยฮะ,ฮาโหล ครับ   จะ สอบถาม เบอร์ นี้ ยัง ถูก ระงับ อยู่ เลยฮะ,report,suspend,billing and payment
ฮัลโหลครับ เมื่อกี้สมัครโปรเสริม WIFI 100บ. ยังไม่ได้รหัสเลยครับ,ฮัลโหล ครับ   เมื่อ กี้ สมัคร โปรเสริม   WIFI   100 บ.   ยัง ไม่ ได้ รหัส เลย ครับ,enquire,package,promotions
ขอแจ้งเปิดสัญญาณ,ขอ แจ้ง เปิด สัญญาณ,activate,service,billing and payment
สวัสดีค่ะ พอดีจะสอบถามหมายเลข ไม่ทราบว่าใช้งานถึง วันหรือยัง พอดีจะย้ายค่ายอ่ะคะ,สวัสดี ค่ะ พอดี จะ สอบถาม หมายเลข ไม่ ทราบ ว่า ใช้ งาน ถึง วัน หรือ ยัง พอดี จะ ย้าย ค่าย อ่ะคะ,enquire,service,other queries
จะสมัครเน็ตอ่ะค่ะ,จะ สมัคร เน็ต อ่ะ ค่ะ,buy,package,promotions
ผมอยากทราบว่าเบอร์นี้โทรออกไม่ได้ครับ,ผม อยาก ทราบ ว่า เบอร์ นี้ โทร ออก ไม่ ได้ ครับ,report,phone_issues,billing and payment
มีข้อความ SMS มาครับ ต้องการยกเลิกข้อความเหล่านี้,มี ข้อความ SMS มา ครับ ต้องการ ยกเลิก ข้อความ เหล่า นี้,cancel,service,other queries
สอบถาม การยืมเงินและการคืนเงืนของ ทรู ค่ะ เบอร์ ,สอบถาม การ ยืม เงิน และ การ คืน เงืน ของ ทรู ค่ะ เบอร์ ,enquire,service,other queries
จะสมัครโปรเน็ต บาท ค่ะ,จะ สมัคร โปรเน็ต บาท ค่ะ,buy,package,promotions
เบอร์ทรูมูฟของผมเบอร์หนึ่งหน่ะ อยู่ๆ คลื่นมันก็ไม่มี มันเหมือนกับล้มเหลวไปเลย ทำอะไรไม่ได้เลย โทรออกไม่ได้เลยครับ,เบอร์ทรู มูฟ ของ ผม เบอร์ หนึ่ง หน่ะ อยู่ๆ คลื่น มัน ก็ ไม่ มี มัน เหมือน กับ ล้มเหลว ไป เลย ทำ อะไร ไม่ ได้ เลย โทร ออก ไม่ ได้ เลย ครับ,report,phone_issues,billing and payment
พอดีอยากสอบถาม เบอร์นี้ติดค่าบริการกี่เดือนแล้วคะ,พอดี อยาก สอบถาม เบอร์ นี้ ติด ค่า บริการ กี่ เดือน แล้ว คะ,enquire,balance,billing and payment
โปรโมชั่นใหม่ล่าสุดของเดือนนี้มีอะไรบ้างครับ,โปรโมชั่น ใหม่ ล่าสุด ของ เดือน นี้ มี อะไร บ้าง ครับ,enquire,promotion,promotions
จะสมัคร Package อินเตอร์เนตของ Aircard ค่ะ,จะ สมัคร Package อินเตอร์เนต ของ Aircard ค่ะ,buy,package,promotions
อยากสอบถามหน่อยเปลี่ยนโปรศัพท์ใหม่ต้องโทรมาแจ้งมั้ยว่าใช้ยี่ห้ออะไร,อยาก สอบถาม หน่อย เปลี่ยน โปรศัพท์ ใหม่ ต้อง โทร มา แจ้ง มั้ย ว่า ใช้ ยี่ห้อ อะไร,enquire,service,other queries
พอดีใช้แอร์การ์ดครบ เดือนแล้ว แต่ทำไมไม่มีบิลมาแจ้งเลย ค่ะ,พอดี ใช้ แอร์การ์ด ครบ เดือน แล้ว แต่ ทำไม ไม่ มี บิล มา แจ้ง เลย ค่ะ,enquire,bill,billing and payment
ซื้อแอร์การ์ดมาแต่ตอนนี้ยังใช้งานไม่ได้ครับ,ซื้อ แอร์การ์ด มา แต่ ตอน นี้ ยัง ใช้ งาน ไม่ ได้ ครับ,enquire,internet,internet
พี่อยากสอบถามเลขของพี่ มันใช้โปรโมชั่นอะไร ใช้นาทีละเท่าไหร่ ยังไง,พี่ อยาก สอบถาม เลข ของ พี่ มัน ใช้ โปรโมชั่น อะไร ใช้ นาที ละ เท่า ไหร่ ยัง ไง,enquire,detail,billing and payment
หนูขูดเลขบัตรเติมเงินแล้วเลขมันหายไปอ่ะค่ะ,หนู ขูด เลข บัตร เติม เงิน แล้ว เลข มัน หาย ไป อ่ะ ค่ะ,enquire,payment,billing and payment
พอดีว่ามีใบแจ้งหนี้ ส่งมาค่ะ มียอด บ. แต่พึ่งไปชำระค่าบริการมานะค่ะ,พอดี ว่า มี ใบ แจ้ง หนี้ ส่ง มา ค่ะ มี ยอด บ. แต่ พึ่ง ไป ชำระ ค่า บริการ มานะ ค่ะ,enquire,bill,billing and payment
อยากจะซื้อเครื่องมาเล่นสามจีมาต่อเล่นกับคอมพิวเตอร์นะครับ มีโปรโมชั่นที่ใช้งาน เดือนฟรี แอร์การ์ดมั้ยครับ,อยาก จะ ซื้อ เครื่อง มา เล่น สามจีมา ต่อ เล่น กับ คอมพิวเตอร์ นะ ครับ มี โปรโมชั่น ที่ ใช้ งาน เดือน ฟรี แอร์การ์ด มั้ย ครับ,enquire,package,promotions
ตอนนี้อยู่ที่ญี่ปุ่น ดาต้าโรมมิ่งคิดอย่างไรค่ะ ค่าโทรศัพท์เท่าไหร่ ใช้เครือข่ายไหนคะ,ตอน นี้ อยู่ ที่ ญี่ปุ่น ดาต้า โรม มิ่ง คิด อย่าง ไร ค่ะ ค่า โทรศัพท์ เท่า ไหร่ ใช้ เครือข่ายไหนคะ,enquire,roaming,international dialing
สอบถามหนีค้างชำระ,สอบถาม หนี ค้าง ชำระ,enquire,balance,billing and payment
ครับผม อ่า ผมเปลี่นนซิมเป็น ซิมทรูมูฟเอชอ่ะครับ แต่หน้าจอมันยังเป็นทรูมูฟอยู่เลยอ่ะครับ,ครับ ผม อ่า ผม เปลี่นน ซิม เป็น ซิม ทรูมูฟเอช อ่ะ ครับ แต่ หน้า จอ มัน ยัง เป็น ทรู มูฟ อยู่ เลย อ่ะ ครับ,report,phone_issues,billing and payment
อยากจะให้ตรงตัวบริการเสริมหากเป็นโฆษณาให้ตัดออก,อยาก จะ ให้ ตรง ตัว บริการ เสริมหาก เป็น โฆษณา ให้ ตัด ออก,cancel,service,other queries
เบอร์ที่โทรเข้ามา ชำระไปตั้ง - วัน ยังใช้งานไม่ได้อยู่เลยคับ,เบอร์ ที่ โทร เข้า มา ชำระ ไป ตั้ง - วัน ยัง ใช้ งาน ไม่ ได้ อยู่ เลย คับ,report,suspend,billing and payment
พี่ค่ะพอดี ดทรศัพท์มันโดนตัดเมื่อตะกี้ แล้วพอดีกำลังติดต่องานอยู่หน่ะค่ะ ไม่ทราบว่าจะเปิดแปปนึงแล้วตอนเย็นไปจ่ายได้มั้ยค่ะ,พี่ ค่ะ พอดี ดทรศัพท์ มัน โดน ตัด เมื่อ ตะกี้ แล้ว พอดี กำลัง ติดต่อ งาน อยู่ หน่ะ ค่ะ ไม่ ทราบ ว่า จะ เปิด แปปนึง แล้ว ตอน เย็น ไป จ่าย ได้ มั้ย ค่ะ,report,suspend,billing and payment
จะย้ายค่าย,จะ ย้าย ค่าย,enquire,service,other queries
ต้องการเปิดใช้ Internet รายวัน บาทค่ะ,ต้องการ เปิด ใช้ Internet ราย วัน บาท ค่ะ,activate,service,billing and payment
ตั้งค่า iPhone / ตั้งค่า iPad,ตั้ง ค่า iPhone / ตั้ง ค่า iPad,enquire,mobile_setting,internet
ผมติดต่อถามยอดค่าชำระนะครับ,ผม ติดต่อ ถาม ยอด ค่า ชำระ นะ ครับ,enquire,balance,billing and payment
เบอร์นี้ใช้เน็ตเมื่อคืนทำไมไม่ได้ค่ะ,เบอร์ นี้ ใช้ เน็ต เมื่อ คืน ทำไม ไม่ ได้ ค่ะ,enquire,internet,internet
จะโทรมาทำเอ่อ เปลี่ยนเปลี่ยนโปรโมชั่นหน่ะครับ,จะ โทร มา ทำ เอ่อ เปลี่ยน เปลี่ยน โปรโมชั่น หน่ะครับ,change,package,promotions
จะสอบถามเรืองยอดชำระครับ ยังไม่มีบิลส่งมาเลย,จะ สอบถาม เรือง ยอดชำระ ครับ ยัง ไม่ มี บิลส่ง มาเลย,enquire,balance,billing and payment
ขอระงับ เครื่อง หาย,ขอ ระงับ เครื่อง หาย,report,lost_stolen,lost and stolen
พอดีผมจะเช๊คยอดค่าบริการครับ,พอดี ผม จะ เช๊ คยอด ค่า บริการ ครับ,enquire,balance,billing and payment
อยากเลิกข้อความดูดวงหน่อยค่ะ,อยาก เลิก ข้อความ ดู ดวง หน่อย ค่ะ,cancel,service,other queries
ฮัลโหลครับ พอดีว่าเบอร์นี้สามารถใช้งานได้อีกกี่วันครับ,ฮัลโหล ครับ   พอ ดี ว่า เบอร์ นี้ สามารถ ใช้ งาน ได้ อีก กี่ วัน ครับ,enquire,balance,billing and payment
โปร % ยังมีอยู่หรือเปล่าน้อง,โปร % ยัง มี อยู่ หรือ เปล่า น้อง,enquire,promotion,promotions
จะยกเลิก Pro Iphone ค่ะ,จะ ยกเลิก Pro Iphone ค่ะ,cancel,service,other queries
วันนี้ทางทรูถ่ายทอดสดฟุตบอลมั้ยครับ แมนยู กับ รีลมาริด,วัน นี้ ทาง ทรู ถ่ายทอด สด ฟุตบอล มั้ย ครับ แมนยู กับ รีลมาริด,enquire,nontruemove,other queries
ฮาโหล คือชั่วโมงเนตในมือถือพี่หมด ช่วยยกเลิกการเชื่อมต่อให้ด้วยครับ,ฮาโหล   คือ ชั่วโมง เนต ใน มือถือ พี่หมด   ช่วย ยกเลิก การ เชื่อม ต่อ ให้ ด้วย ครับ,cancel,service,other queries
จะสอบถามยอดค่าบริการค่ะ,จะ สอบถาม ยอด ค่า บริการ ค่ะ,enquire,balance,billing and payment
เอ่อ จะติดต่อเรื่องเบอร์นี้ เปลี่ยนเป็นรายเดือนอ่ะครับ,เอ่อ จะ ติดต่อ เรื่อง เบอร์ นี้ เปลี่ยน เป็น ราย เดือน อ่ะครับ,change,package,promotions
จะถามว่า whatapp กับไลน์ ทำไมขึ้นรูปคนอื่นค่ะ หนูอยากถามว่าเบอร์นี้มีคนใช้มาก่อนหรือเปล่าค่ะ,จะ ถาม ว่า whatapp กับ ไลน์ ทำไม ขึ้น รูป คน อื่น ค่ะ หนู อยาก ถาม ว่า เบอร์ นี้ มี คน ใช้ มา ก่อน หรือ เปล่า ค่ะ,enquire,internet,internet
ซื้อบัตรเติมเงินมา ใช้เหรียญขูดแล้วเลขหลุดหมดเลยค่ะ,ซื้อ บัตร เติม เงิน มา ใช้ เหรียญ ขูด แล้ว เลข หลุด หมด เลย ค่ะ,enquire,payment,billing and payment
พี่รบกวนสอบถามนิดนึงครับ พี่ซื้อมือถือมาที่นี่มันเปิดบริการ G เผอิญว่าซิมพี่มันใช้ G ไม่ได้,พี่รบกวน สอบถาม นิดนึง ครับ พี่ ซื้อ มือถือ มา ที่ นี่ มัน เปิด บริการ G เผอิญ ว่า ซิม พี่มัน ใช้ G ไม่ ได้,enquire,internet,internet
จะขอเช็คยอดขั้นต่ำที่ต้องชำระอะค่ะ,จะ ขอ เช็ค ยอด ขั้น ต่ำ ที่ ต้อง ชำระ อะค่ะ,enquire,balance,billing and payment
โทรศัพท์หายหน่ะค่ะพี่ อยากจะยกเลิกค่ะ,โทรศัพท์ หาย หน่ะ ค่ะ พี่ อยาก จะ ยกเลิก ค่ะ,report,lost_stolen,lost and stolen
จ่ายค่าอินเตอร์เน็ตแล้วยังเปิดใช้งานไมได้เลยค่ะ,จ่าย ค่า อินเตอร์เน็ต แล้ว ยัง เปิด ใช้ งาน ไม ได้ เลย ค่ะ,report,suspend,billing and payment
ตัดรอบบิล,ตัดรอบบิล,enquire,bill,billing and payment
คะ ขอยกเลิก sms ทั้งหมดที่เสียเงินคะ,คะ ขอ ยกเลิก sms ทั้งหมด ที่ เสีย เงิน คะ,cancel,service,other queries
ซิมล๊อค เข้าไม่ได้ค่ะ,ซิมล๊อค เข้า ไม่ ได้ ค่ะ,report,phone_issues,billing and payment
สอบถามยอดค่าบริการของบิลปัจจุบัน และขอเพิ่มวงเงินถาวร,สอบถาม ยอด ค่า บริการ ของ บิล ปัจจุบัน และ ขอ เพิ่ม วงเงิน ถาวร,enquire,balance,billing and payment
ผมขอเช็คข้อมูล พึ่งชำระยอดเข้าไปแต่พนักงานแจ้งอีกยอดหนึ่งช่วยเช็คที่ถูกต้องให้ด้วยครับ,ผม ขอ เช็ค ข้อมูล พึ่งชำระ ยอด เข้า ไป แต่ พนักงาน แจ้ง อีก ยอด หนึ่ง ช่วย เช็ค ที่ ถูกต้อง ให้ ด้วย ครับ,enquire,balance,billing and payment
"ตอนนี้ใช้ ทรูมูฟ อยู่ สนใจจะเปลี่ยนเป็น ทรูมูฟเอช เพื่อใช้ สามจี อยากทราบว่าถ้าย้ายค่าย
แล้วจะถือว่าผิดสัญญา อินเตอร์เน็ต ไฮ สปีด ของทรูไปด้วย หรือไม่คะ"," ตอน นี้ ใช้ ทรูมูฟ อยู่ สนใจ จะ เปลี่ยน เป็น ทรู มูฟเอช เพื่อ ใช้ สาม จี อยาก ทราบ ว่า ถ้า ย้าย ค่าย
แล้ว จะ ถือ ว่า ผิด สัญญา อินเตอร์เน็ต ไฮ สปีด ของ ทรู ไป ด้วย หรือ ไม่ คะ",enquire,detail,billing and payment
ค่ะ พอดีสอบถามปัญหา internet นิดหนึ่งค่ะ มันใช้งานไม่ค่อยได้,ค่ะ พอดี สอบถาม ปัญหา internet นิดหนึ่ง ค่ะ มัน ใช้ งาน ไม่ ค่อย ได้,enquire,internet,internet
คะ อยากสอบถามนะค่ะ พอดีว่าไปซื้อซิมทรูมาเมื่อวาน แล้วทีนี้ ยังใช้บริการไม่ได้เลยคะ,คะ อยาก สอบถาม นะ ค่ะ พอดี ว่า ไป ซื้อ ซิม ทรู มา เมื่อ วาน แล้ว ที นี้ ยัง ใช้ บริการ ไม่ ได้ เลยคะ,report,phone_issues,billing and payment
คือ จะสอบถามโปรโมชั่นคะ โปรโมชั่นปัจจุบันของเบอร์ที่โทรไปนี่แหละคะ,คือ จะ สอบถาม โปรโมชั่นคะ โปรโมชั่น ปัจจุบัน ของ เบอร์ ที่ โทร ไป นี่ แหละ คะ,enquire,package,promotions
