call_id,start_time,end_time,duration,transcript
TMC161_mix_6e2wk,4 min 1 sec,4 min 7 sec,6.00,"กลับอยู่เหรอก็มีภาระนะครับก็คือแบ่งผ่อนคอนโดเดือนละ 10,000 บาทนะครับ"
TMC161_mix_6e2wk,4 min 8 sec,4 min 21 sec,13.14,"แล้วก็อีก 10,000 บาทเอาไปลงแบ่งออมพวกหุ้นไทยประกันนะครับแล้วก็กองทุนรวมแห่งชาตินะครับใช่ครับแล้วก็ช่วงนี้ก็บอกว่าพอมีเงินเก็บเพราะไม่ได้เอาไปเที่ยวเลย"
TMC161_mix_6e2wk,4 min 21 sec,4 min 30 sec,8.37,ไม่ได้ถ่ายครับรอเก็บตังค์แบบเยอะๆหน่อยครับผมขอบคุณล่วงหน้านะคะอะไรนะขอให้โค้ชและพี่โอมรักษาสุขภาพด้วย
TMC161_mix_6e2wk,4 min 30 sec,4 min 31 sec,1.32,รัก
TMC161_mix_6e2wk,4 min 32 sec,4 min 36 sec,3.90,จริงๆฟังข้อมูลเนี่ยเป็นน้องอีกคนนึงนะที่จับเงินดีนะครับ
TMC161_mix_6e2wk,4 min 36 sec,4 min 41 sec,5.40,เงินบริหารเงินดีนะมีเก็บในกองทุนในหุ้นอยู่แล้วมีเก็บในประกันนะ
TMC161_mix_6e2wk,4 min 42 sec,4 min 50 sec,8.07,ดีหมดเลยดีหมดคำถามที่น่าจะเป็นความหนักอกหนักใจในอนาคตที่มีโอกาสจะต้องย้ายไปอยู่ต่างประเทศ
TMC161_mix_6e2wk,4 min 51 sec,4 min 58 sec,6.69,ซึ่งเราก็คงไม่ต้องเดาล่ะน้องคงต้องไปอยู่สิงคโปร์หรือเปล่านะอยู่กับแฟนอ่ะนะ
TMC161_mix_6e2wk,4 min 59 sec,5 min 2 sec,3.51,กูจะเก็บเงินกองเงินเป็นสกุลต่างประเทศไว้ดีไหม
TMC161_mix_6e2wk,5 min 3 sec,5 min 5 sec,2.49,อันนี้อาจจะต้องตอบเป็นความเห็นส่วนตัวแล้วกันเนาะ
TMC161_mix_6e2wk,5 min 6 sec,5 min 18 sec,11.82,เรื่องเงินตราต่างประเทศในอนาคตในอัตราแลกเปลี่ยนเราไม่ได้จริงๆว่าใครจะแข็งแกร่งใครจะยิ่งใหญ่ใครจะอัตราแลกเปลี่ยนดีกว่าฝั่งนึงใครจะเงินแข็งเงินอ่อนนะ
TMC161_mix_6e2wk,5 min 18 sec,5 min 21 sec,2.07,ถ้าเกิดว่าเราศึกษากันมาเราก็จะ
TMC161_mix_6e2wk,5 min 21 sec,5 min 23 sec,2.43,เรียงกันไปนิดนึงดูว่าเหมือนฝั่งจีน
TMC161_mix_6e2wk,5 min 24 sec,5 min 26 sec,2.88,น้าจีนจะมาจีนจะแข็งแกร่งอะไรนะ
TMC161_mix_6e2wk,5 min 27 sec,5 min 29 sec,2.07,ทางฝั่งยุโรปอเมริกาจะดู
TMC161_mix_6e2wk,5 min 29 sec,5 min 31 sec,1.44,นอนลงไปนิดหน่อย
TMC161_mix_6e2wk,5 min 31 sec,5 min 36 sec,5.67,แต่ในมุมนึงในโดยส่วนตัวพี่พี่ก็เงินของสิงคโปร์เองก็ไม่น่าจะอ่อนเท่าไหร่นะ
TMC161_mix_6e2wk,5 min 37 sec,5 min 41 sec,4.47,ก็น่าจะพอแบบเก็บไว้เป็นแหล่งที่มันเราเก็บเงินหรือบริหารจัดการเงินได้
TMC161_mix_6e2wk,5 min 41 sec,5 min 43 sec,1.20,ตรงนี้ต้องบอกก่อนว่า
TMC161_mix_6e2wk,6 min 0 sec,6 min 4 sec,4.17,ซึ่งจะใช้เป็นอะไรเงินสกุลไหนเนี่ยแต่ใจพี่นะ
TMC161_mix_6e2wk,6 min 5 sec,6 min 7 sec,2.40,พี่เป็นน้องเขาพี่ก็คงเอาสิงคโปร์ดอลลาร์เลย
TMC161_mix_6e2wk,6 min 8 sec,6 min 12 sec,4.41,เพราะว่าเรามีแววที่จะได้ไปอยู่ไปใช้ชีวิตอยู่ทำงาน
TMC161_mix_6e2wk,6 min 13 sec,6 min 16 sec,3.57,แล้วก็จริงๆอ่ะการเอาเงินไปฝากในรูปแบบของ
TMC161_mix_6e2wk,6 min 17 sec,6 min 22 sec,5.67,เงินตราต่างประเทศที่เราจะใช้อยู่แล้วเนี่ยก็เป็นวิธีการวิธีการหนึ่งในการจัดการอัตราแลกเปลี่ยน
TMC161_mix_6e2wk,6 min 23 sec,6 min 32 sec,9.24,แล้วก็คือการฝากไว้ในรูปเงินตราอันนั้นไปเลยตัดอันนี้ก็เป็นวิธีการหนึ่งที่เขาใช้กันถ้ามีวิธีการอื่นอาจจะมี Forward นะมีเรื่อง Option
TMC161_mix_6e2wk,6 min 32 sec,6 min 37 sec,4.56,อันนี้มันจะมีเรื่องของอายุสัญญามีค่าธรรมเนียมนะ
TMC161_mix_6e2wk,6 min 39 sec,6 min 46 sec,7.62,ส่วนใหญ่เขาจะใช้กับพวกธุรกิจอ่ะใช่ซื้อของมาเป็น US Dollar นะพี่กลัวเดี๋ยวค่าเงินมันจะไปแดก
TMC161_mix_6e2wk,6 min 46 sec,6 min 49 sec,2.64,พี่ก็เลยทำสัญญาล่วงหน้ากันไว้นะ
TMC161_mix_6e2wk,6 min 50 sec,6 min 57 sec,7.23,พี่ว่าถ้าเกิดว่าจะเผื่อเหลือเผื่อขาดกว่าจะใช้วิธีการฝากในรูปเงินตราของประเทศนั้นที่เราวางแผนว่าเราจะไปอยู่
TMC161_mix_6e2wk,6 min 57 sec,7 min 6 sec,8.58,อันนี้น่าจะเป็นวิธีการที่ดีที่สุดก็เลยคิดว่าอาจจะเป็น Singapore Dollar ไปครับผมและวิธีการอะไรต่างๆมีค่าธรรมเนียมนะอาจจะต้องดูอีกทีนึง
TMC161_mix_6e2wk,7 min 6 sec,7 min 9 sec,2.52,น้องเขาไม่ได้บอกว่าเขามีเงินเก็บอยู่เท่าไหร่
TMC161_mix_6e2wk,7 min 9 sec,7 min 17 sec,7.53,เจอเพราะว่าในระยะเนี่ยขั้นต่ำก็เป็นประมาณล้านนึงอะไรอย่างนี้นะครับเขาทำกันละนะถ้ามันก็จะแบบ
TMC161_mix_6e2wk,7 min 17 sec,7 min 22 sec,4.68,ค่าธรรมเนียมก็แบบเรียกว่าสมน้ำสมเนื้อหน่อยแต่คุ้มค่าการจ่ายค่าธรรมเนียมหน่อย
TMC161_mix_6e2wk,7 min 22 sec,7 min 25 sec,3.39,ถ้าไม่ดีไม่มีอะไรมากคิดว่าการฝากไว้น่าจะง่ายที่สุด
TMC161_mix_6e2wk,7 min 26 sec,7 min 33 sec,7.08,รูปแบบการลงทุนจะเริ่มฝากหรือวางการลงทุนไว้เลยก็ได้ครับถ้ามั่นใจว่า
TMC161_mix_6e2wk,7 min 34 sec,7 min 44 sec,10.08,เขาใช้แน่ๆมันเป็นอะไรที่พูดยาก
TMC161_mix_6e2wk,7 min 45 sec,7 min 50 sec,5.64,เริ่มวางการลงทุนในรูปแบบนั้นมันก็โอเคนะครับส่วนอันอื่น
TMC161_mix_6e2wk,7 min 50 sec,7 min 54 sec,3.69,แต่ต้องบอกจริงว่าไม่กล้าแนะนำว่าอะไรมันจะพุ่ง
TMC161_mix_6e2wk,7 min 54 sec,7 min 57 sec,2.76,พุ่งขึ้นพุ่งลงฉาบนะครับ
TMC161_mix_6e2wk,7 min 57 sec,7 min 58 sec,0.90,เพราะว่าเราไม่ได้
TMC161_mix_6e2wk,7 min 59 sec,8 min 6 sec,7.50,มองเรื่องของตรงนี้ในส่วนของการเก็งกำไรเพียงอย่างเดียวแต่เราไปใช้ชีวิตตรงนั้นด้วยก็เลยบอกว่าให้ใช้รูปแบบนี้น่าจะดี
TMC161_mix_6e2wk,8 min 6 sec,8 min 10 sec,3.60,กลับครับผมกับแฟนคนก่อนที่เป็นชาวต่างชาติครับผม
TMC161_mix_6e2wk,8 min 30 sec,8 min 38 sec,8.37,ดูแล้วไม่ใช่คำถามเรื่องการออกด้วยซ้ำเป็นคำถามในเชิงหยั่งเชิงการวางแผนชีวิตในอนาคตโดยสารครับผม
TMC161_mix_6e2wk,8 min 38 sec,8 min 42 sec,3.60,ก็เลยก็เลยคิดว่าจริงๆน่ะถ้าบอกว่า 3 ปี
TMC161_mix_6e2wk,8 min 43 sec,8 min 46 sec,3.12,แล้วมีคำถามมาแบบนี้ผมว่าเกิน 50%
TMC161_mix_6e2wk,8 min 46 sec,8 min 55 sec,9.42,มีโอกาสที่มันจะเกิดขึ้นสูงพอจะมีโอกาสได้ไปใช้ชีวิตที่นู่นได้ไปงานตั้งรกรากกันที่นู่นใช่ครับพี่ทั้งนั้นเนี่ยเรื่องของ
TMC161_mix_6e2wk,8 min 56 sec,9 min 1 sec,5.55,มีแนวคิดการออมเงินน่ะดีแล้วกลับแล้วก็เรื่องของสกุลเงินแบบไหนเห็นด้วยกับพี่หนุ่มเลยครับ
TMC161_mix_6e2wk,9 min 2 sec,9 min 9 sec,7.56,เราจะไปอยู่กับเราก็ได้แต่ว่าถ้าสมมุติว่า
TMC161_mix_6e2wk,9 min 9 sec,9 min 12 sec,2.46,ระหว่างทางศึกษาหาความรู้ไปเช่นถ้าเรา
TMC161_mix_6e2wk,9 min 12 sec,9 min 15 sec,3.33,คาดการณ์ว่าหยวนจะเติบโตขึ้นมาจะมา
TMC161_mix_6e2wk,9 min 16 sec,9 min 18 sec,2.61,ระหว่างทางเราก็อาจจะมีการแบ่งส่วนตรงนี้
TMC161_mix_6e2wk,10 min 6 sec,10 min 17 sec,10.23,ได้ครับจะได้แล้วก็เราเท่าที่ฟังเหมือนเป็นลักษณะที่จะไปใช้ชีวิตจริงๆแล้วก็เหมือนจะมีเงินในบัญชีแล้วอยู่เมืองไทยก็ง่ายที่สุดและใช้ง่ายที่สุด
TMC161_mix_6e2wk,10 min 17 sec,10 min 23 sec,5.79,ที่บอกให้มันเป็นการปรับเรื่องของค่าเงินอยู่แล้วเพราะว่ามันอยู่ตรงนั้นค่าครองชีพต่างๆครับมันไปบอกกับตัว
TMC161_mix_6e2wk,10 min 23 sec,10 min 28 sec,4.89,ไอ้ตัวไอ้ตัวเล็กเรียนภาษาที่เราใช้อยู่แล้วใช่ครับ
TMC161_mix_6e2wk,10 min 28 sec,10 min 36 sec,7.17,อาจจะเอาเครียด framework วิธีคิดการออมการลงทุนแบบไทยแล้วก็ไปอแดปใช้กับที่สิงคโปร์ก็ได้นะว่าที่นั่นก็น่าจะมีเรื่อง
TMC161_mix_6e2wk,10 min 36 sec,10 min 39 sec,2.85,การออมหรือมีกองทุนหรือมีอะไรบางอย่าง
TMC161_mix_6e2wk,10 min 39 sec,10 min 41 sec,1.53,ใช้ได้
TMC161_mix_6e2wk,10 min 41 sec,10 min 44 sec,3.33,ครับกลับก็ลองดูอายุ 28 เองครับแล้วก็
TMC161_mix_6e2wk,10 min 45 sec,10 min 46 sec,1.41,พื้นฐาน
TMC161_mix_6e2wk,10 min 46 sec,10 min 48 sec,2.07,รายได้เท่านี้มีการแบ่งไปออม
TMC161_mix_6e2wk,10 min 49 sec,10 min 50 sec,1.68,ตรงนี้อะไรเงี้ยผมว่าโหม
TMC161_mix_6e2wk,10 min 51 sec,10 min 54 sec,2.76,ประมาณ 20 เปอร์เซ็นต์ของรายได้ผมถือว่า
TMC161_mix_6e2wk,10 min 54 sec,10 min 58 sec,4.29,ได้เลยได้เลยครับพี่ใช้ได้ใช้ได้เลยนะครับแล้วก็แม่
TMC161_mix_6e2wk,10 min 59 sec,11 min 11 sec,12.15,ดูแล้วน่าจะมีโอกาสลงหลักปักฐานที่จริงครับผมแต่งงานกันแล้วก็แจ้งมาบอกได้ใช่ครับก็ถ้าอยากให้ไปเที่ยวที่สิงคโปร์นะครับเฮียก็สามารถส่งพิกัดมาได้นะครับผม
TMC161_mix_6e2wk,11 min 11 sec,11 min 23 sec,11.64,ไปก็ฝากดูแลด้วยนะครับ
TMC161_mix_6e2wk,11 min 24 sec,11 min 27 sec,3.51,มีความสุขนะเวลาเราจัดรายการทางด้านการเงินแล้วเราได้ยินเรื่องของคนอื่น
TMC161_mix_6e2wk,11 min 28 sec,11 min 29 sec,1.35,เงินดูแล
TMC161_mix_6e2wk,11 min 29 sec,11 min 32 sec,2.88,น้าการเงินตัวเองเป็นอย่างดีแต่ก็อย่างที่บอกครับ
TMC161_mix_6e2wk,11 min 33 sec,11 min 34 sec,1.17,โลกเราแม้ว่า
TMC161_mix_6e2wk,11 min 34 sec,11 min 37 sec,3.15,การเงินเก็บดีเก็บหอมรอมริบดีมันก็จะมีอีก
TMC161_mix_6e2wk,11 min 37 sec,11 min 51 sec,13.89,ประเด็นหรือปัญหาที่มันแตกออกไปในมุมอื่นๆครับน้าทั้งหมดทั้งมวลนี้ก็สามารถส่งคำถามมาได้ในรายการของเรานะครับเดี๋ยว Money Case by the money Coach นะครับครับผมติดตามฟังได้ในทุกช่องทางแล้วก็ทำ YouTube แล้ว Search คำว่า
TMC161_mix_6e2wk,11 min 51 sec,12 min 6 sec,14.34,ครับผมครับผมถ้า search ไม่เจอเนี่ยพี่หนุ่มแนะนำว่าให้ไปดูในท็อปไฟฟ์ช้าครับผมหมดครับเบื่อชะมัดเลยรายการอื่นแล้วบอกแล้วก็
TMC161_mix_6e2wk,12 min 6 sec,12 min 8 sec,2.10,ตามพวกเราได้เป็นประจำทุกวันพุธนะครับ
TMC161_mix_6e2wk,12 min 9 sec,12 min 11 sec,2.25,ฟังดีจังการเงินแล้วก็คำแนะนำในการ
TMC161_mix_6e2wk,12 min 12 sec,12 min 13 sec,1.17,การการเงินเถ้าแก่
TMC161_mix_6e2wk,12 min 13 sec,12 min 14 sec,1.23,ครับ
TMC161_mix_6e2wk,12 min 15 sec,12 min 25 sec,10.08,ครับเราไปก่อนพบกันใหม่ในวันพุธหน้าสวัสดีครับสวัสดีครับติดตามทุกรายการของ The Standard
TMC161_mix_6e2wk,12 min 25 sec,12 min 27 sec,1.77,ช่างปอตติฟาย YouTube
TMC161_mix_6e2wk,12 min 27 sec,12 min 30 sec,2.64,ทุกที่ที่คุณสั่งถอดการ์ดได้แล้ววันนี้
TMC161_mix_6e2wk,12 min 32 sec,12 min 33 sec,1.41,japanporn
TMC161_mix_6e2wk,12 min 34 sec,12 min 35 sec,0.96,
TMC161_mix_6e2wk,12 min 35 sec,12 min 36 sec,0.96,
TMG01_Mix_Fixed_681d0,0 min 42 sec,0 min 48 sec,6.27,ครับพี่งานมีรายการพิเศษเพิ่มเข้ามาอีก 1 รายการนะครับชื่อรายการก็ดูดีไปในทางบวกแน่นอน
TMG01_Mix_Fixed_681d0,0 min 48 sec,0 min 51 sec,2.31,กลับนะบ่ติ The Money Case
TMG01_Mix_Fixed_681d0,0 min 51 sec,0 min 54 sec,3.09,จากที่เราต้องมาลุ้นว่าอันนี้มันเป็นคำถามแนวไหน
TMG01_Mix_Fixed_681d0,0 min 54 sec,0 min 57 sec,2.97,คิดด้านบวกและด้านลบแต่วันนี้นะ
TMG01_Mix_Fixed_681d0,0 min 58 sec,1 min 0 sec,2.52,รายการพิเศษอะไรกันใหม่บวกแน่นอนครับผม
TMG01_Mix_Fixed_681d0,1 min 0 sec,1 min 8 sec,8.10,ครับพี่พี่ก็บอกแล้วว่ามันนิโกรสนะครับนอกจากข้างนอกเลยแล้วยังงอกงามด้วย
TMG01_Mix_Fixed_681d0,1 min 9 sec,1 min 17 sec,7.80,หน้าลอกเป็นรายการพิเศษ 12 ตอนของพวกเราเนี่ยจะพูดถึงเรื่องการลงทุนในหุ้นครับ
TMG01_Mix_Fixed_681d0,1 min 18 sec,1 min 19 sec,1.77,ครับผม
TMG01_Mix_Fixed_681d0,1 min 20 sec,1 min 22 sec,2.25,ลงครับพี่แต่อย่าถามถึง
TMG01_Mix_Fixed_681d0,1 min 22 sec,1 min 28 sec,6.06,พอร์ตการลงทุนของผม
TMG01_Mix_Fixed_681d0,1 min 29 sec,1 min 35 sec,6.36,ช่วงนี้ช่วงนี้มันมีตลาดหลักทรัพย์ของเรานะตลาดหลักทรัพย์ให้เรานี่เนาะ
TMG01_Mix_Fixed_681d0,1 min 35 sec,1 min 38 sec,2.52,ช่วงที่ผ่านมามีนาคมหุ้นมันตกไปเยอะ
TMG01_Mix_Fixed_681d0,1 min 53 sec,1 min 59 sec,6.06,พูดมาเริ่มขึ้นมาปุ๊บครับพี่ผมตกรถไปหรือยังครับเนี่ย
TMG01_Mix_Fixed_681d0,2 min 0 sec,2 min 3 sec,3.48,ของเราก็อยากจะจัดรายการพิเศษให้นะครับเรียกว่า
TMG01_Mix_Fixed_681d0,2 min 3 sec,2 min 8 sec,4.26,เป็นรายการที่ให้ความรู้สำหรับน้องๆที่กำลังอยากจะเข้ามาศึกษาเรื่องการลงทุน
TMG01_Mix_Fixed_681d0,2 min 8 sec,2 min 11 sec,2.37,เอาว่าอย่าใจร้อนมากเกินไป
TMG01_Mix_Fixed_681d0,2 min 11 sec,2 min 12 sec,1.68,ลองฟัง 12 ตอนของพี่
TMG01_Mix_Fixed_681d0,2 min 13 sec,2 min 19 sec,6.15,ฮ่าๆแบบรายการที่เขาอะไรนะ
TMG01_Mix_Fixed_681d0,2 min 19 sec,2 min 28 sec,8.28,อย่าเพิ่งลงทุนหุ้นกับคุณยังไม่ได้ดูครบทั้ง 12 ตอนอะไรนะครับผมจะได้ตอนแรกวันนี้ครับโอมครับ
TMG01_Mix_Fixed_681d0,2 min 28 sec,2 min 31 sec,3.57,รับเงินจากการลงทุนในหุ้นเนี่ยอยากจะบอกน้องจังเลยว่า
TMG01_Mix_Fixed_681d0,2 min 32 sec,2 min 35 sec,3.30,คนชอบถามว่าลงทุนอะไรดีสู้ตัวไหนดี
TMG01_Mix_Fixed_681d0,2 min 36 sec,2 min 40 sec,4.20,เวลาถามก็มาพี่ก็จะกวนตีนกวนใจตัวเองมากนะทำไมถามอย่างนี้
TMG01_Mix_Fixed_681d0,2 min 40 sec,2 min 42 sec,1.41,ว่าอยากจะเชียร์มีคำว่า
TMG01_Mix_Fixed_681d0,2 min 42 sec,2 min 44 sec,1.95,การลงทุนในหุ้นการลงทุนในธุรกิจ
TMG01_Mix_Fixed_681d0,2 min 45 sec,2 min 51 sec,5.40,แล้วไม่อยากให้ทำแค่ตัวอักษร 2 3 ตัวตรงนั้นแล้วก็ซื้อมันแล้วก็ดูว่ามันจะขึ้นจะลงไม่ใช่
TMG01_Mix_Fixed_681d0,2 min 51 sec,2 min 53 sec,2.16,อยากให้เรารู้จักเรื่องของธุรกิจ
TMG01_Mix_Fixed_681d0,2 min 54 sec,2 min 56 sec,2.22,ที่อยู่ข้างหลังตัวอักษร 2-3 ตัวนั้นด้วย
TMG01_Mix_Fixed_681d0,2 min 56 sec,3 min 2 sec,5.94,นะครับตอนนี้เนี่ยผมอยากจะชวนทุกท่านนะครับผมคงอยากจะชนกันคุยกันเรื่องของ
TMG01_Mix_Fixed_681d0,3 min 4 sec,3 min 8 sec,4.14,น้าอ้อเรากำลังจะเป็นนักลงทุนเป็นเจ้าของกิจการโดยอ้อม
TMG01_Mix_Fixed_681d0,3 min 8 sec,3 min 19 sec,10.17,อารมณ์ลองไปลงทุนในธุรกิจนั้นเป็นคนจะรู้สักหน่อยครับผมครับพี่หาว่าเรากำลังจะลงทุนในอะไรนะครับเราไม่ใช่แค่ลงทุนกับเราลงทุนธุรกิจด้วย
TMG01_Mix_Fixed_681d0,3 min 19 sec,3 min 27 sec,7.77,ใช่ครับก็อย่างที่พี่หนุ่มพูดไปนะครับคือถ้าย้อนกลับไปเมื่อ 2-3 เดือนที่ผ่านมาในช่วงที่ 6
TMG01_Mix_Fixed_681d0,3 min 27 sec,3 min 33 sec,5.55,prakrueng แบบว่าสร้างผลกระทบมากมายเลยเราจะเห็นตั้งแต่เรื่องของตลาดหุ้น
TMG01_Mix_Fixed_681d0,3 min 34 sec,3 min 36 sec,2.25,ย้อนลงไป 900
TMG01_Mix_Fixed_681d0,3 min 36 sec,3 min 46 sec,9.78,"ตอนนี้ก็สะท้อนขึ้นมาบอกว่า 1,000 บาทมันจะเป็นตัววีนะบางทีมันก็ทำให้คน"
TMG01_Mix_Fixed_681d0,3 min 46 sec,3 min 49 sec,2.19,ใหม่ๆน่ะตื่นตาตื่นใจว่ะ
TMG01_Mix_Fixed_681d0,4 min 17 sec,4 min 21 sec,4.14,ถ้าจะลงทุนเราควรจะจับธุรกิจไหนที่อยู่ในใจในกระแสนะครับ
TMG01_Mix_Fixed_681d0,4 min 22 sec,4 min 25 sec,3.03,วันนี้เราจึงมีแขกรับเชิญครับผมมาร่วมคุยกับเราครับ
TMG01_Mix_Fixed_681d0,4 min 25 sec,4 min 29 sec,3.21,ใช่ครับถ้าพูดถึง keyword คำว่าธุรกิจเนี่ย
TMG01_Mix_Fixed_681d0,4 min 29 sec,4 min 32 sec,2.76,วันนี้ไปไม่ได้เลยครับครับผม
TMG01_Mix_Fixed_681d0,5 min 15 sec,5 min 20 sec,4.38,ราคาเป็นวันนี้เราจะคุยกันเพราะว่าแม่ต้องบอกว่า
TMG01_Mix_Fixed_681d0,5 min 20 sec,5 min 24 sec,4.14,ช่วงเวลาที่ผ่านมาก็เคยเห็นนะครับไม่ว่าจะเป็น The Secret Sauce เองก็ดีด้วย
TMG01_Mix_Fixed_681d0,5 min 25 sec,5 min 27 sec,2.49,Espresso นะแต่เห็นเขียนได้สัมภาษณ์
TMG01_Mix_Fixed_681d0,5 min 27 sec,5 min 28 sec,0.81,ผู้บริหาร
TMG01_Mix_Fixed_681d0,5 min 29 sec,5 min 32 sec,3.24,ในกิจการหลายๆกิจการนะและเชื่อว่าน่าจะ
TMG01_Mix_Fixed_681d0,5 min 33 sec,5 min 40 sec,6.72,เห็นและมีข้อมูลอะไรมาบอกเราสำหรับใครอยากจะเริ่มต้นลงทุนนะครับอยากให้ศึกษาธุรกิจเป็นวันนี้ได้ไอเดียเยอะๆแน่นนอนครับ
TMG01_Mix_Fixed_681d0,5 min 40 sec,5 min 42 sec,2.22,เบื้องต้นต้องถามก่อนว่าเขียนเองเป็นคนที่
TMG01_Mix_Fixed_681d0,5 min 43 sec,5 min 55 sec,12.72,ร่วมเข้ามาสนุกสนานกับการลงทุนในหุ้นหรือไม่อย่างไรสนุกสนานด้วยครับบางครั้งก็ไม่ค่อยสนุกอะอาจจะซึมเศร้าอยู่บ้านก็ลงทุนด้วยครับลงทุนอยู่ในหุ้นด้วยนะครับแล้วก็ลงทุนใด
TMG01_Mix_Fixed_681d0,5 min 56 sec,5 min 57 sec,0.87,sgs
TMG01_Mix_Fixed_681d0,5 min 57 sec,5 min 59 sec,1.98,เพื่อที่จะลดหย่อนภาษี
TMG01_Mix_Fixed_681d0,5 min 59 sec,6 min 1 sec,1.50,ครับผมแล้วก็มี
TMG01_Mix_Fixed_681d0,6 min 2 sec,6 min 4 sec,2.28,ตัวที่เป็นกองทุนสลากออมสิน
TMG01_Mix_Fixed_681d0,6 min 4 sec,6 min 9 sec,5.19,ออกพันธบัตรมีอะไรงี้เรื่อยๆครับก็พยายามที่จะเอาเงินที่เรามีไป
TMG01_Mix_Fixed_681d0,6 min 10 sec,6 min 13 sec,2.97,ลงทุนในสินทรัพย์ต่างๆที่แตกต่างกันออกไป
TMG01_Mix_Fixed_681d0,6 min 13 sec,6 min 16 sec,3.24,มีบ้างแต่ในแง่ของคุณเนี่ยผมอาจจะไม่ได้เป็นคนที่เกาะ
TMG01_Mix_Fixed_681d0,6 min 17 sec,6 min 21 sec,4.50,รายวันขนาดนั้นคือเกาะติดในฐานะสื่อมวลชนมากกว่าว่าเกิดความเคลื่อนไหวอะไร
TMG01_Mix_Fixed_681d0,6 min 22 sec,6 min 25 sec,3.00,แต่ว่าไม่ได้กดลิงค์เลยค่ะนักลงทุนจะดูเป็นภาพใหญ่
TMG01_Mix_Fixed_681d0,6 min 26 sec,6 min 33 sec,6.72,เวลาลงทุนของผมเองเนี่ยผมจะมีคุณพ่อครับคุณพ่อจะเป็นคนหนึ่งที่เป็นนักลงทุนมาเป็น 20-30 ปีแล้ว
TMG01_Mix_Fixed_681d0,6 min 33 sec,6 min 34 sec,1.23,คันก็จะเชี่ยวชาญ
