0,labels,len,texts
,neutral,,เงียบไว้เงียบไว้อย่างเดียวอยากกินอะไรไหม
,neutral,,นโยบายเพื่อให้คนนั้นสามารถที่จะกระตุ้นการจับจ่ายใช้สอย
,neutral,,นักศึกษาไว้ที่นึงนะครับสินเชื่อแต่ละแบบนั้นก็มีความแตกต่างกันนะครับแล้วก็รูปแบบมันก็
,neutral,,ยากนิดนึงเพราะว่า
,neutral,,อาจจะไม่ได้เยอะแยะจนแบบโอหรือเรา
,negative,24.0,ก็คุณไม่ค่อยรู้เรื่องค่ะ
,neutral,,ในตลาดเนี่ยยังยังพอไปได้นะครับเขามีวิธีการต่างๆ
,neutral,,เดี๋ยวถ้าเกิดมา 500 กกเขาบอกได้คำเดียวเราอาจจะแอบขอส่วนลดได้
,neutral,,ลงทุนแบบ 50 ครับหรือมีจุดสังเกตุอะไรไหม
,positive,184.0,น่ารักจังเลย ถ้ามีการให้คะแนน ให้คะแนนเต็มล้านเลยค่ะ  สำหรับท่านใดที่มีอำนาจพิจารณาเงินเดือนและโบนัส สำหรับน้อง anchalee ให้ โบนัส 10 เดือนเลยนะคะ  หนูมีน้ำใจ และ take care ลูกค้าดีมาก
,neutral,,ถ้าคนที่
,neutral,,ท็อปไลน์ก็คือรายได้มันไม่เข้ากำไรมันไม่ได้ไม่เข้าเป้า
,neutral,70.0,บัตรนี้เห็นบางท่านที่รายได้สูงๆ บอกว่าสมัครยาก ไม่รู้ทำไมเหมือนกันครับ
,neutral,65.0,ระหว่าง 60-90 วัน หลังจากทำครบเงื่อนไข ควรโทรแจ้ง เพื่อความมั่นใจ
,neutral,,ผมว่าเรื่องแบบนี้จะต้องลดลง
,neutral,,เพื่อที่จะลดหย่อนภาษี
,neutral,25.0,รบกวนเข้ามาตอบหน่อยนะครับ
,neutral,,ผมคงไม่บอกว่ามันทะอะไรมันจะเป็นยังไงก็ลองไปคิดตอนนี้คือว่านี่คือการการมองแบบ
,neutral,36.0,ลำบากไปไหมเนี่ยกับมือถือเครื่องเดียว
,neutral,12.0,บัตรเฟิสช้อย
,neutral,,อสังหาริมทรัพย์บางทีก็จะมีราคาขึ้นลงได้บ้างนิดนึงคือความฝัน
,neutral,,ในการเก็บออมหรือสะสมในประมาณนึงด้วย
,neutral,,ก็ไม่ได้รับผลกระทบมากนักส่วนจะแสดงผลในตลาดหุ้นแบบที่ผมพูดไหม
,neutral,56.0,ทุกวันนี้ประกันหาซื้อง่ายมากๆ นอนอยู่บ้านก็มีคนโทรมาเสนอ
,neutral,,มันก็บ่นแล้วมันค้างๆๆๆ
,neutral,,บอกว่าเคสแบบนี้จะเจอเยอะกับคนแบบอยากรีไฟแนนซ์
,neutral,,นึกว่าไม่เกิดเมาฉิบหาย effect ไม่เกิดการใช้เงิน
,neutral,,ประเทศไทยก็ต้องบอกว่าติดท็อปไฟว์นะในงานสาธารณสุขใช่ไหมครับโอ๋ทำได้มามากและหลายประเทศก็บางประเทศไต้หวันเองเกาหลีเองก็ทำได้ดี
,neutral,26.0,ktc ไม่มีค่าธรรมเนียมรายปี
,neutral,,"เดือนละ 5,000 บาทอันนี้เปิดเผยเต็มๆฝากให้ดอกเบี้ย 3.5 เปอร์เซ็นต์"
,neutral,,ส่วนใหญ่มีปัญหาก็คือว่าเราถือกัน
,neutral,,กองทุนการออมอะไรบางอย่างน้อย
,neutral,63.0,แบงค์นี้เมื่อ 10 ปีที่แล้วมีหนังสือให้ทำบัตร พอดีอยากได้กระเป๋า
,neutral,,ไปก็ฝากดูแลด้วยนะครับ
,positive,10.0,ไม่มีปัญหา
,neutral,,"อายุ 24 ปีและมีงานประจำรับเงินเดือน 20,000 บาท"
,neutral,,work from home ผมเชื่อว่าเป็น
,neutral,,ที่อยู่ข้างหลังตัวอักษร 2-3 ตัวนั้นด้วย
,neutral,45.0,แต่อย่าลืมว่า เขาทำธุรกรรมผ่านกรุงศรีเท่านั้น
,neutral,,ไม่มีกำไร
,neutral,,nan
,neutral,,มันต้องใช้เทคโนโลยีเข้ามาเป็นส่วนหนึ่ง
,positive,17.0,บริการดีมากเลยค่ะ
,neutral,,ควรจะศึกษาเรื่องนี้ให้ละเอียดก่อน
,neutral,,ก็คือมูลค่าสินทรัพย์แล้วมันโตไปเท่าไหร่ก็หักออกไปตรงนั้น
,neutral,,ช่วงนี้นับถอยหลัง 10 นาทีสุดท้ายเลยนะว่าปีนี้คุณอาจจะซื้อ 50 SX ก็ได้แต่ละพอจะลงตราสารหนี้เพิ่มเพื่อให้มวลของ
,neutral,,สิ่งแวดล้อมเขาทำเพิ่มเข้ามา
,neutral,,ให้พี่เคนฟันธงให้น้องๆครับ
,positive,17.0,บริการสุดยอดดีมาก
,neutral,,คุณจะมีเหมือนกับคำนำหน้านะครับ
,neutral,,วิกฤตทั้งนั้นเลยทำให้โอเป็นคนขี้ระแวงเลยเดินไปไหนจะต้องมองซ้ายมองขวา
,neutral,,มันคุ้มที่จะต้องไปดำเนินการหรือเปล่า
,negative,100.0,cs ตั้งใจฟังปัญหาลูกค้า พบ cs กล่าวคำพูดเชิงยอกย้อน เข้าใจค่ะคุณลูกค้า ดิฉันกำลังอธิบายค่ะ คุณลูกค้า
,neutral,,เอาเงินไปให้เขาร้อยนึงขับอย่างต่ำ 65 บาทครับต้องไปอยู่ในตลาดหุ้นตลาดหุ้น
,neutral,,GPS เป็นของคนอื่น
,neutral,,พี่ก็เลยทำสัญญาล่วงหน้ากันไว้นะ
,positive,36.0,ขอบคุณมากนะคะที่ให้บริการเป็นอย่างดี
,neutral,,"ได้ครับได้ครับเดือนละ 2,000 บาทอันนี้พอได้เพราะพ่อก็ยังครับแล้วก็"
,neutral,79.0,สำหรับเราไม่ได้มีสมบัติพ่อแม่ก็ต้องหาเอง ยอมกู้ซื้อรถเพื่อเอามาต่อยอดขับไปทำงาน
,negative,16.0,คุณทำอะไรได้บ้าง
,neutral,,หรือทำยังไงก็ได้ให้
,neutral,,เราอาจจะเหมาะ
,neutral,,ltf มีแต่อะไรไม่รู้พูดไปหมดแล้วแต่ยังไม่เลิกพูดเลยตั้งสติก่อนอาจจะเป็นเลือด
,neutral,,พอปีนี้คนคิดถึงก็เลยแบบนี้เรียกร้องกันเขาบอกว่าอยากได้ SF อยากได้กล่องขึ้นมาเป็นพิเศษ
,neutral,,อันนี้คืออันที่ 1
,neutral,40.0,(ในใบสมัคร เราไม่ได้อนุญาตให้แชร์ข้อมูล)
,positive,23.0,ขอบคุณที่ให้ความกระจ่าง
,neutral,52.0,พอดีพี่ที่รู้จักเพิ่งจะเคยไปครั้งแรกค่ะ กลัวหาไม่เจอ
,negative,118.0,น้ำเสียง cs ค่อนข้างราบเรียบฟังดูไม่มีชีวิตชีวา และควรเพิ่มเติมในส่วนการตอบรับระหว่างลูกค้าพูด เพื่อให้ลูกค้ารับรู้ว่า
,neutral,,เหมือนกัน
,neutral,57.0,พอจะมีบัตรเครดิอะไรบ้างคับที่จะพอหยวนๆ กับเงินเดือน 10000
,neutral,,ยกเว้นนะครับเรื่องยืมเงินเรื่องอะไรก็ถามเราก็ตอบตลอดเวลาเลยนะครับโอเค
,neutral,,ร่วมเข้ามาสนุกสนานกับการลงทุนในหุ้นหรือไม่อย่างไรสนุกสนานด้วยครับบางครั้งก็ไม่ค่อยสนุกอะอาจจะซึมเศร้าอยู่บ้านก็ลงทุนด้วยครับลงทุนอยู่ในหุ้นด้วยนะครับแล้วก็ลงทุนใด
,neutral,,เอาส่วนของการลงทุนก่อนนะครับแล้วเอาทีละเรื่องนะครับเรื่องเปิดเผยข้อเท็จจริงเดี๋ยวค่อยคุยกัน
,neutral,,สำหรับผมนะผมว่าเป็นสิ่งที่ใหญ่มาก
,neutral,76.0,ถึงกู้ผ่านก็ผ่อนไม่รอด  โดนยึดรถแน่ๆถ้าไม่แก้พฤติกรรมการจัดการหนี้ให้ถูกต้อง
,neutral,,น้าศักดิ์ชั้นนึกว่าถ้าเกิดว่า
,positive,30.0,ขอบคุณมากๆเลยที่สอนในวันนี้ค่ะ
,neutral,54.0,ไม่น่าจะรีบมีบัตรเครดิตนะครับ แสดงว่าอยากเป็นหนี้เร็วๆ
,neutral,,ต้องบินวิจารณ์วิเคราะห์กันที่ถูกวิวัฒนาการแต่ละประเทศ
,negative,9.0,จะปิดบัตร
,neutral,,บ่แน่นอนอันนี้ผมคุยกับบริษัทใหญ่ๆมาหมดแล้ว
,neutral,,สิทธิซื้อ ltf
,neutral,42.0,อยากทราบว่าจะสมัครบัตรเครดิตได้อีกมั้ยหรือ
,neutral,,เป็นนักเรียนรู้ด้วยนะพยายามเก็บข้อมูลหาข้อมูลแล้วก็ต้องติดตามเพื่อให้เราไว้แล้วก็เราทันนะ
,neutral,,มันเป็นแบบอินโฟกราฟฟิคสวยๆเขาจะไปคิวอาร์โค้ดให้เราถ่ายรูป
,neutral,,ลงครับพี่แต่อย่าถามถึง
,neutral,,แนะนำแล้วก็ให้ความรู้สำหรับผู้เริ่มต้นลงทุนนะครับติดตามรายการได้เป็นประจำ
,neutral,,Easter ใหญ่มาก
,neutral,,พุ่งขึ้นพุ่งลงฉาบนะครับ
,neutral,,japanporn
,neutral,,เราทยอยส่งเราไปปกติก็ได้
,neutral,,ใครที่โอเคปรับพรพรรณว่องไวพอสมควร
,neutral,18.0,โอ๊ย อิจฉา ฮาๆๆๆๆๆ
,neutral,,นิ่งเบรคนิ่งนิ่ง
,neutral,,เรื่องนั้นๆทันที
,positive,12.0,ดีมากเลยครับ
,neutral,,ไม่ได้เข้ามาบริหารจัดการมากครับก็คือปล่อยลงทุนให้มันยิ่งขึ้นลงตามตลาดหุ้นเที่ยงกองคลัง 10 + 10 + 10 ด้วย
,neutral,39.0,ส่วนบ้านไม่ซื้อเพราะอยู่กับพ่อแม่สบายใจ
,neutral,10.0,หรือติดต่อ
,neutral,,ตอนเด็กๆคุณพ่อก็นั่งปวดหัวกับตลาดหุ้น
,neutral,,เรียบร้อย
,neutral,47.0,แต่หากร้านค้าใดไม่ได้เข้าร่วมการลงทะเบียนกับทาง
,neutral,,บางคนโรงงานอยู่หลายประเทศ
,neutral,,ตอนนี้มันก็อาจจะไม่ต้องลงทุนเยอะมาก
,negative,43.0,มะนาวบ้าบอปัญญาอ่อนระบบห่าเหวอะไรมาใช้เนี้ย
,negative,27.0,ทางคุณไม่ save ลูกค้าเลยหรอ
,neutral,,มันไม่ได้เหมือนปกติ
,neutral,,กลับแล้วก็ยังไปต่อได้
,neutral,,หาง่ายหาง่ายคนใกล้ตัวของเขาไปเขาก็ขอต้อนรับนะครับ
,neutral,71.0,ส่วนตัวสมัครไม่ผ่านจนชิน ไม่เกี่ยวกะบูโร ตกสกอร์จ้า ตรงไหนไม่รู้ ไม่บอก
,positive,11.0,ชัดเจนดีมาก
,neutral,,โรงเรียนยังไม่เปิดเลยนะครับหลายที่
,neutral,,น้าการเงินตัวเองเป็นอย่างดีแต่ก็อย่างที่บอกครับ
,neutral,,ช่างติดฝ้า
,neutral,35.0,เจอของทรู ไม่รู้ใช้ได้ทุก รุ่นไหนนะ
,neutral,,nan
,neutral,,nan
,positive,11.0,เยี่ยมไปเลย
,neutral,,หรือว่าโทรคมนาคม
,positive,25.0,ให้ข้อมูลพี่ชัดเจนเลยครับ
,positive,30.0,อธิบายคล่อง อธิบายละเอียดดีมาก
,neutral,,นิทานดาว 5 ดาว 4 ดาวที่แบบเยอะกว่า
,neutral,33.0,สรุปก็ยังไม่ได้เสียหายอะไรนี่ครับ
,neutral,,อันนี้น่าจะเป็นวิธีการที่ดีที่สุดก็เลยคิดว่าอาจจะเป็น Singapore Dollar ไปครับผมและวิธีการอะไรต่างๆมีค่าธรรมเนียมนะอาจจะต้องดูอีกทีนึง
,neutral,,บางทีเรา
,neutral,,น้ายิ่งโอ้โหพี่โอมเล่าเรื่องในอดีตมาเก็บไว้เยอะเจ็บมาเยอะขนาดนั้นมันจะไปเปลี่ยนกันแบบพลิกฝ่ามือเนี่ยไม่ได้ขับแต่พี่เชื่ออย่างนึง
,neutral,,แล้วเราจะเห็นว่า
,neutral,,อันแรกหรือลงทุนเนี่ยท่านไปไม่รู้ว่าเราต้องการอะไรเนี่ยอันนี้ก็ถือว่าเสียหน้าไม่ได้
,negative,24.0,ไม่ต้องเน้นเสียงก็ได้ค่ะ
,neutral,,นักธุรกิจเจ้าของธุรกิจ
,neutral,,nan
,neutral,,nan
,neutral,35.0,1 บัตรกดเงินสดยูเมะพลัส   1 000 บาท
,neutral,,ไม่ใช่ของตาคุณ
,positive,14.0,ขอบคุณมากๆครับ
,negative,42.0,ดึงยอดเงินไว้ก่อนเหมือนไม่่ปิดแบบนี้เหรอคะ
,neutral,,บางคนอาจจะยังไม่รู้จัก
,neutral,,SF ธรรมดา
,positive,8.0,เคลียมาก
,neutral,,ผมว่าทุกคนคิดเหมือนกันทุกคนเห็นเหมือนกัน
,neutral,22.0,โทรมาสอบถามข้อมูลต่างๆ
,neutral,63.0,ต้องใช้ 75 x 60 x 25 บาท = 112 500  บาท ถ้าตีใช้เดือนละ 4-5 พัน
,neutral,39.0,เลือกใช้ reward เฉพาะหมวดที่ได้คะแนน x5
,positive,34.0,ดีมากเลย ให้กดคะแนนให้คุณได้ที่ไหน
,neutral,,สินเชื่อประเภทนี้ก็คือสินเชื่อรถเนี่ยมันไม่ได้เป็นรถต้นลดดอก
,neutral,,งบแสดงสถานะการเงินพูดอีกชื่อนึงง่ายๆคือรายการทรัพย์สินหนี้สิน
,positive,112.0,คุณน่ารักมาก เป็นคนที่ใจเย็นมาก พูดเพราะ พยายามอธิบายให้เข้าใจชัดเจน ให้ข้อมูลต่างๆที่จำเป็นที่ควรทราบ น่ารักมาก
,positive,20.0,ให้ข้อมูลดีมากเลยค่ะ
,neutral,47.0,เพื่อปิดบัตรเงินสดเฟิสช้อย และจะกู้รถผ่านไหมค่ะ
,neutral,,เจ๊งไปหลายคนเหมือนกันครับ
,positive,16.0,เป็นคำแนะนำที่ดี
,positive,40.0,ขอบคุณมากเลยค่ะ ให้ข้อมูลรายละเอียดดีค่ะ
,neutral,,ที่บอกว่าเป็นช่วย covid เขาให้ดอกเบี้ยต่ำเขาเลยพิเศษด้วยนะคะ
,neutral,,ฝนก็อาบเก็บเอาไว้
,neutral,,ลงแล้วนิ่ง
,neutral,,assistance
,neutral,,กระเป๋าครับผม
,neutral,,แต่ไม่เท่ากับต้มยำกุ้งเป็นต้นแข็งแรงอยู่แล้วเราไปเห็น
,neutral,,ปรีชา
,neutral,,เดือนละ 1
,neutral,11.0,คปภ เลยครับ
,neutral,,อ่านหนังสือชี้ชวนแต่บางทีคนใหม่ๆมาอ่านเขาก็อ่านไม่เข้าใจนะแต่วิธีนี้มันที่ดีคือเราเข้าไปในเมื่อกี้ดอทคอม slash มือสอง pantip
,neutral,58.0,สั่งไอโฟนไป วันที่ 30 มีนา 59  จ่ายแบบชำระผ่านบัตรเฟิสช้อย
,neutral,,คุณพ่อบอกว่า
,negative,9.0,บาทขึ้นไป
,negative,67.0,สลิป ทำให้ลูกค้าเข้าใจผิด อยากให้อธิบายให้มันเคลียร์ ทำให้ตีความผิด
,neutral,,อาจจะเหนื่อยนิดนึง
,neutral,,เราเป็นคล้ายไหน - นายเป็นคนแบบไหน
,positive,11.0,บริการดีมาก
,neutral,31.0,uob ไม่รู้บัตรอะไรบอกไม่ถูกครับ
,neutral,,น้าอ้อเรากำลังจะเป็นนักลงทุนเป็นเจ้าของกิจการโดยอ้อม
,negative,52.0,ผมต้องไปแจ้งร้องเองหรือบัตรเครดิตมีบริการนี้อยู่แล้ว
,neutral,,พอร์ตการลงทุนของผม
,neutral,,มองแล้วก็ค่อนข้างที่จะยังไปต่อได้
,neutral,,Shenzhen จัดซื้อจัดจ้าง
,neutral,,แล้วก็ต้องบอกว่าแน่
,neutral,74.0,จะยกเลิกประกันชับบ์สามัคคีที่อ้างข้อมูลเราจากบัตรเครดิตกรุงศรีเฟิร์สช้อยส์
,neutral,49.0,แต่ถ้าค้างชำระไม่ทราบเหมือนกันเพราะจ่ายตรงทุกบัตร
,neutral,54.0,เก็บไว้ 2 ใบ ถ้าไม่มีค่าธรรมเนียมรายปีก็ไม่เสียหายอะไร
,neutral,,SF เปลี่ยนได้
,neutral,,ประเมินความเสี่ยงครับ
,neutral,,หาภาพรูปภาพเศรษฐกิจอะไร
,neutral,23.0,ยกเลิกประกันคับ ทำไงคับ
,neutral,,คุณพ่อเนี่ยรับราชการครู
,neutral,,"ส่งเดือนละ 3,000 22 บาทครับผมถ้าเกิดผมไปกู้"
,positive,70.0,ขอบคุณมากเลยค่ะ พูดจาสุภาพเรียบร้อย น่ารักมาก เต็มใจให้บริการมากเลยค่ะ
,positive,9.0,ยอดเยี่ยม
,neutral,27.0,เพื่อไม่ให้มีผลกระทบในอนาคต
,neutral,,แล้วก็มีประสบการณ์ที่ไม่ค่อยดีเกี่ยวกับเรื่องของการเงินเท่าไหร่นะก็คือว่า
,neutral,33.0,แต่งงาน มันต้องมีความสุขไม่ใช่หรอ
,negative,42.0,น้ำเสียงไม่เต็มใจ ภาษายอกย้อน ตลอดการสนทนา
,neutral,,ไม่รู้ไอ้น้องคนนี้ดูอาการแบบนี้จะเดือดร้อนดูก็ไม่ได้เดือดร้อนดูเหมือนพูดมันผ่อนได้นะแต่ต้องระวังนะ
,neutral,,50 ตัวแรก Set 50 50 100 100 100 100
,neutral,,แต่ก็เข้าได้
,neutral,32.0,คือโฮมโปร+แพททินั่มวีซ่า (ดูโอ้)
,neutral,,นัดมา
,neutral,,เปลี่ยนได้
,positive,69.0,ขอให้บอกกับหัวหน้างาน หรือผู้บริหารให้รับทราบ คุณบริการลูกค้าได้ดีมาก
,neutral,,nan
,negative,38.0,มีรายละเอียดแจ้งก่อนเข้าร่วมมาตรการค่ะ
,neutral,43.0,เพื่อนสั่ง note 8 ตัดผ่านบัตรเพื่อเอาพ้อยท์
,neutral,,nan
,positive,51.0,มี service mind ดีมากเลย บริการออกมาจากใจ ขอบคุณมาก
,neutral,,น้องอาจจะคลอดให้ส่วนลดดอกเบี้ยกลับมาบ้างซึ่งอันนั้นก็ต้องไปบวกลบคูณหารให้ทีว่าไอ้ดอกเบี้ยส่วนลดจ่ายดอกเบี้ยที่หาเรื่องมาทำเพิ่มเนี่ยมันโอเคหรือเปล่าครับ
,neutral,,คืออะไรเนี่ยอันนี้อยากให้พี่นัทฝากข้อคิดนะว่าเรื่องของการ
,neutral,,ศึกษาในแง่ของสไตล์ของตัวเองด้วยว่าตัวเองอ่ะเป็นคนแบบไหน
,neutral,,จัดการกับความเสี่ยงในการลงทุนได้มีความสุขแล้วก็เงินทอง
,neutral,,ก็เลยจะเป็นเรื่องของความปลอดภัยไม่ให้ไม่เสี่ยงจนเกินไปดังนั้นถ้าเกิดว่าจะคุยกับคุณพ่อเลยนะครับ
,neutral,,เธอๆต้องมีสมาธิดีๆนะครับบางทีเราเห็น
,neutral,18.0,ไม่เกิน 2 วันทำการ
,neutral,65.0,กรุงศรีเฟิสช้อย กับ ธนาคาร กรุงศรีอยุธยา เครือข่ายเดียวกันมั๊ยค่ะ
,positive,48.0,แค่นี้ก็ปลื้มแล้วดูแลดีจังเลย เดี๋ยวให้ 10 คะแนน
,positive,41.0,เคลียร์มากเลยค่ะเดี๋ยวให้คะแนนเต็มเลยนะคะ
,neutral,,แบ่งเอาไปลงทุน
,neutral,,ผ่านหลายพัน
,neutral,44.0,มีเงินสดถึงครึ่งหนึ่งของหนี้ก็ไม่เลวเท่าไหร่
,neutral,27.0,ถ้าทำตาม คห บน ยังไม่สำเร็จ
,neutral,,ได้เลยได้เลยครับพี่ใช้ได้ใช้ได้เลยนะครับแล้วก็แม่
,neutral,40.0,ไล่นักท่องเที่ยว ทำเศรฐกิจพัง หหรือเปล่า
,neutral,,ผมผ่อนดอกเบี้ยรถนะครับ
,negative,71.0, แล้วเจ้าหน้าที่ดูเองไม่ได้เหรอคะ โทรศัพท์ก็ใช้กับคุณอยู่จะดูยังไงอะคะ 
,positive,23.0,ให้ความกระจ่ายชัดเจนมาก
,positive,43.0,น้องบริการได้เยี่ยมมากเลยปกป้องข้อมูลลูกค้า
,negative,10.0,fcc โดยตรง
,neutral,,เข้าสู่โหมดดีเฟนซ์
,negative,30.0,ถ้าจะแก้ปัญหาไม่ได้ก็ไม่เป็นไร
,neutral,,ต้องศึกษารายละเอียดมากๆ
,positive,11.0,บริการดีมาก
,positive,38.0,ขอบคุณมากๆค่ะ น่ารักที่สุดเลยน้องเนี่ย
,neutral,,คนที่เขาไม่รู้ไงว่าอะไรยังไงหรือไปถามอย่างนี้น้องเขาน่ารักนะน้องตอนนี้เป็นไงดีกับพี่มันดียังไง
,neutral,,อีก 1 เทอม
,neutral,,ก็มาเติมกันได้ย้อนหลัง 3 เดือนย้อนหลังระยะเวลาประมาณ
,neutral,,ก็จะเป็นอีก
,neutral,,เต้นรถดอกเบี้ย
,neutral,23.0,รพอะไรก็อาจจะไม่ได้ทีวี
,neutral,,มาทยอยเหมือนกับยาย
,neutral,,อิเล็กทรอนิกส์
,positive,35.0,ขอบคุณมากๆนะคะดูแลและให้ข้อมูลได้ดี
,neutral,93.0,กฎของธนาคารแห่งประเทศไทยอันใหม่ป่าว ที่จำกัดวงเงินอะไรนั่น บางทีอาจจะครบตามเกณฑ์แล้วก็เป็นได้
,neutral,26.0,ถามเทพเรื่องบัตรเครดิตครับ
,neutral,40.0,โทรไปขอยกเลิกประกันชับบ์สามัคคีประกันภัย
,positive,22.0,ขอบคุณสำหรับคำแนะนำดีๆ
,negative,26.0,ความผิดผลาดเกิดจากทางแบงค์
,neutral,,มีทุกปี
,neutral,,รายการพิเศษอะไรกันใหม่บวกแน่นอนครับผม
,neutral,25.0,โดยที่ไม่ต้องกรอกรหัส otp
,neutral,,fund Manager เข้ามาหรือพูดไม่ดีเอาออกมายังไม่ว่างเลยคัดเลือกประจำเลยเขตเข้าซื้อเข้าขายออกก็แล้วแต่วันนี้หุ้นปันผลหุ้น
,neutral,100.0,ผมเพิ่งสอบถาม cc มาครับ สมัครวันเสาร์-อาทิตย์ก็ได้หากเอกสารครบ แต่ธนาคารต้องสามารถติดต่อที่บริษัทได้
,positive,45.0,ขอบคุณน้องมากมีพนักงานอย่างนี้ พี่กด 5 ให้เลย
,neutral,43.0,3 การขีดคร่อม  *สำคัญสุดๆ สำคัญอย่างยิ่งยวด
,neutral,44.0,แต่พออ่านดีๆ ได้ลดเครื่องละ 900 บาท เท่านั้น
,neutral,,แล้วก็แล้วก็คือโชคดีที่บริษัทผมยังไม่ได้มีนโยบายลดเงินเดือน
,neutral,,nan
,neutral,,อย่าเพิ่งลงทุนหุ้นกับคุณยังไม่ได้ดูครบทั้ง 12 ตอนอะไรนะครับผมจะได้ตอนแรกวันนี้ครับโอมครับ
,neutral,,น้องเนี่ยมีทรัพย์สินอะไรบ้างนะครับเพราะว่าเรา
,neutral,,ขอบคุณมากๆนะคะขอบคุณค่ะ
,neutral,,F
,neutral,,แล้วที่สำคัญนะครับก็ไม่รู้ไม่ได้เลยนะเลยนะไม่เท่าไหร่
,neutral,,สุดท้ายมันก็ต้องดูเป็นหลายๆตัวแล้วก็มันไม่ใช่ว่าพอแล้วมันจะมีบางครั้ง
,neutral,,อันนี้ก็เป็นอุตสาหกรรมหนึ่งที่
,neutral,,ครับ
,positive,14.0,ใจเย็นจังเลยอะ
,neutral,46.0,เงินเดือนเท่านี้ต่อให้ได้วงเงินก็ไม่พอผ่อนครับ
,positive,34.0,ดีมากเลย ให้กดคะแนนให้คุณได้ที่ไหน
,positive,31.0,โล่งอก อย่างน้อยยังไม่โดนปฏิเสธ
,neutral,,ไม่มีรายรับ
,neutral,,เรื่องบัญชีอย่างนี้
,neutral,,ชะลอหรือว่าเลื่อนการลงทุนออกไปก่อนอันนี้เห็นแต่จะมีอีกกลุ่มนึงครับ
,positive,12.0,บริการเยี่ยม
,neutral,,มันเริ่มเบื่อ
,neutral,9.0,ขอบคุณค่ะ
,positive,16.0,พี่ขอบคุณน้องมาก
,negative,40.0,ไม่พยายามช่วยเหลือ เน้นตาม process เดิมๆ
,neutral,,เขียนบอกไว้แล้วเรียบร้อย
,neutral,,งั้นก็ค่อยๆนะให้เวลาเป็นตัวช่วยนะครับแล้วก็
,neutral,,เป็นเรื่องดีแล้วน้องเขาด้วยที่ 24 ถ้าเริ่มลงทุนตอนนี้
,negative,101.0,เลิกขออภัยได้แล้วประสาทป่ะ ไม่ต้องมารับเรื่องไปเรียกมาคุยเดี๋ยวนี้ หุบปาก กวนประสาทไปเรียกมาเดี๋ยวนี้
,neutral,,คนเริ่มโตขึ้นเนี่ยเขาก็
,positive,17.0,ให้บริการดีมากเลย
,neutral,,โทรศัพท์ยี่ห้อใหม่ก็ออกมา
,neutral,,เดินแบบตูมตามตูมตามเช่น
,neutral,,มีสัดส่วนของอสังหาริมทรัพย์มีอะไรอ่ะทองคำ
,positive,23.0,น้องคะบริการดีเยี่ยมค่ะ
,positive,60.0,ขอบคุณที่ให้บริการ และให้ข้อมูลที่ดี ได้รับข้อมูลที่ดีมากเลย
,neutral,,โก๋อย่างชื่อ
,neutral,57.0,งง😳มากเงินเดือน 2หมื่นกว่า สมัครบัตร first choice ไม่ผ่าน
,neutral,,อันนี้ก็ทำให้หลายๆธุรกิจเนี่ย
