texts,labels
น้องอาจจะคลอดให้ส่วนลดดอกเบี้ยกลับมาบ้างซึ่งอันนั้นก็ต้องไปบวกลบคูณหารให้ทีว่าไอ้ดอกเบี้ยส่วนลดจ่ายดอกเบี้ยที่หาเรื่องมาทำเพิ่มเนี่ยมันโอเคหรือเปล่าครับ,neutral
ทำท่องเที่ยว,neutral
ไม่ใช่เรื่องง่ายเลยนะเด็กๆ,neutral
หัวหน้าอยู่ไหม,negative
พูดจาสุภาพ น่าฟัง,positive
มีกันแค่สองคนแล้วก็อยากให้พ่อได้รับรู้ไว้ว่าลูกวางแผนอะไรไว้บ้าง,neutral
เล่นตัวไหนดีว่ามึงตอนไหนตอนนี้มาเพื่อนเพราะเชื่อเพื่อนแต่มันผิด,neutral
ไม่รู้นะว่าเขาไปทำประเทศไหนล่ะประเทศที่มีพื้นที่เป็น EMS,neutral
เบื่อมากเหมือนกัน เช็คอะไรก็ไม่ได้,negative
มาครับรายการนะครับเป็นรายการที่จะ,neutral
สวัสดีครับ,neutral
สัญญาโอเคแหละครับ แต่ไม่น่ามีผลอะไรหรอก,neutral
กังวลมากค่ะ,negative
ภาครัฐมีส่วนมากเอกชนในเขาเขาระมัดระวังตัวอยู่แล้วแล้วเขาก็พยายามที่จะรอดูนโยบาย,neutral
จึงไม่สามารถทำให้คนเข้าใจอะไรด้วยข้อความไม่กี่ข้อความ,negative
เงินบริหารเงินดีนะมีเก็บในกองทุนในหุ้นอยู่แล้วมีเก็บในประกันนะ,neutral
f2000 เรามี,neutral
ต่างประเทศที่ชัดเจนเลยว่าโอ้โหขึ้นจะถูกแรงมากนะตัวขึ้นกระฉูดเพราะมันคืออนาคต,neutral
ขอบคุณให้ข้อมูลดีๆ,positive
nan,neutral
ลงมาถึงเลย,neutral
คุณจบอะไรมา,negative
แทนที่จะ พิจารณา ตัวเอง,negative
นี้คือการหลอกลวงชัดๆ แย่มากๆ,negative
เอาง่ายๆก็คือไม่มีบัตรผ่อนได้ป่าว,neutral
บอกว่าจะติดตามให้ แล้วก็หายจ๋อม,negative
ขาดประสิทธิภาพในการทำงาน,negative
สินเชื่อประเภทนี้ก็คือสินเชื่อรถเนี่ยมันไม่ได้เป็นรถต้นลดดอก,neutral
งี้เง่า พอได้แล้ว นี่จะกวนประสาทใช่ป่ะ,negative
ไม่แน่ใจแต่ตอนนี้เริ่มเริ่ม,neutral
อยากจะใช้สิทธิประโยชน์ทางภาษีด้วยอยากจะรู้เรื่องการลงทุนด้วยนะมันเป็นเนื้อมันคือหุ้นทั้งนั้นเลยแล้วครับเขาเชิญแขกรับเชิญของเรา,neutral
ขอบคุณมากๆ เป็นครั้งแรกที่มีการแนะนำแบบนี้ด้วย รู้สึกว่ามีความประทับใจ call center ที่ดีควรเป็นแบบนี้,positive
มีหนี้จากการค้ำประกันเจ็บปวดมากถ่ายที่เจ็บปวดจริงๆครับแล้วก็ถ้าคุณพ่อในมีทรัพย์สินเงินทองก็มักจะถูกเพื่อนๆมาขอยืม,neutral
ไม่รวมโอที,neutral
อัตราไม่เท่ากัน,neutral
nan,neutral
แล้วบอกให้ผมไปฟ้องร้องเอา(แบบนี้ก็ได้หรอ) นี้คือการทำงานกันแบบนี้ใช่ไหม,negative
cs hold สาย 0716-1734 น ประมาณ 10 น,negative
nan,neutral
รำคาญตรงเงื่อนไขที่บางไตรมาสจุกจิกเกิน,negative
แยกย้ายไว้ในกลุ่มนี้,neutral
nan,neutral
สมัยก่อนโน้นผมสมัครไป 10 ใบ,neutral
ผมว่าตอนนี้มันเริ่มมันเริ่มมาเลยหรือว่า,neutral
จะกู้ได้มันต้องมีแผนว่าจะเอาเงินไปใช้,neutral
เสียเดือนละประมาณเท่าไรครับ,neutral
ผมตอบไม่ตอบในแง่หุ้นดีกว่า,neutral
elon musk tesla,neutral
ถ้าเราไม่เช็คก็เหมือนแต้มเราหายไปเฉยๆ,negative
อยากสอบถามเรื่อง ipad 2017 มีที่ไหนผ่อน 0 % บ้างครับ,neutral
แต่ก็ ok ยอมรับได้,neutral
ขอบคุณทุกคำตอบ,positive
ก็สามารถที่จะ,neutral
สำหรับผมนะผมว่าเป็นสิ่งที่ใหญ่มาก,neutral
หุ้นกลุ่มอื่น,neutral
ภาพรวม 10 เจ็บเท่าๆกันเจ็บหนักเท่ากันหมดเลย,neutral
พอกลับมาที่ร้านเช็คอีกที เหลือยอด 8000 งงหนักกว่าเดิม,neutral
เขาไม่พร้อมที่จะลุกมากขึ้นเขาก็เห็นโอกาสทำแพ็คใหญ่ขึ้นบ้าง,neutral
คือไม่เที่ยว,neutral
ทำให้มันหายไปครึ่งนึงโดนเอาไปใช้อะไรส่วนตัวนี่คือ,neutral
ขอบคุณหนูมากเลย หนูทำงานดีมากเลย…,positive
น้องน่ารักมาก แนะนำดีมาก ไม่เคยเจอ,positive
ควรจะศึกษาเรื่องนี้ให้ละเอียดก่อน,neutral
ไม่มีปัญหาอะไร,neutral
หรือว่าเวลามีข่าวดีเรื่องวัคซีนคนก็,neutral
ไปสตางค์ก็ไปด้วยแต่เขาก็เป็นกำลังใจให้ทุกคนนะ,neutral
ประเทศณเมืองไทยมันไม่ค่อยมี,neutral
เอาเงินนี่แหละไปจ่ายใช้จ่ายกับ SME และ,neutral
เวลา,neutral
ไม่คุ้มเลย,negative
คุยได้ความว่าจะตามเรื่องให้แล้วติดต่อกลับ ก็หายไป,negative
พอทยอยจ่าย ก็กลายเป็นตัดมั่ว,negative
เปอร์เซ็นต์เลยนะครับ,neutral
บางทีเราก็ได้คนแบบนั้นแต่เราอยากลงทุนแบบคนอื่น,neutral
ให้ข้อมูลรายละเอียด,positive
รับเงินจากการลงทุนในหุ้นเนี่ยอยากจะบอกน้องจังเลยว่า,neutral
คุณอธิบายได้ละเอียดมากเลยค่ะ ดีมากค่ะ,positive
ผมเองก้ไม่ติดใจอะไร,neutral
ไม่เกิน 2 วันทำการ,neutral
ถ้าจะลงทุนเราควรจะจับธุรกิจไหนที่อยู่ในใจในกระแสนะครับ,neutral
ไม่เดือดร้อนลูกหลาน,neutral
ลงทุนแบบ 50 ครับหรือมีจุดสังเกตุอะไรไหม,neutral
nan,neutral
นอนลงไปนิดหน่อย,neutral
เรื่องเรื่องอิเล็กทรอนิกส์,neutral
พอทำเรื่องขอคืนสินค้า กลับถูกบ่ายเบี่ยง,negative
ได้จดหมายปฏิเสธเห็นเหตุผลแล้วพิศดาร งงมาก,negative
รู้สึกไม่มีความรับผิดชอบยังไงไม่รู้,negative
ถ้าผมเห็นง่ายๆ,neutral
ขอบคุณมากๆครับ แปลว่าสิ้นเดือนนี้ ผมปล่อยผ่านเลยนะครับ ถือว่าผมเข้าร่วมโครงการเลยใช่มั้ยครับ ส่วนดอกเบี้ย,neutral
ไม่เสียค่าใช้จ่ายอะไร,neutral
อุตสาหกรรมอะไรที่มีอนาคต,neutral
"แล้วก็อีก 10,000 บาทเอาไปลงแบ่งออมพวกหุ้นไทยประกันนะครับแล้วก็กองทุนรวมแห่งชาตินะครับใช่ครับแล้วก็ช่วงนี้ก็บอกว่าพอมีเงินเก็บเพราะไม่ได้เอาไปเที่ยวเลย",neutral
แบบ 30 กว่าผมซื้อปีนี้ผมจะขายเป็นเครื่องมือหลักในการออกแบบ,neutral
ก็คือ SME ปากท้องธุรกิจที่จับต้องได้จริงๆที่เราเห็นเงินที่มันหมุนจริงๆ,neutral
อะไรวะ โทรไปก็ให้รอสาย เสียค่าโทรศัพทอีก ไม่มีคนรับ ให้ทำยังไง,negative
ได้ดีแค่ไหนบริหารจัดการการเงินอย่างไรบริหารต้นทุน,neutral
ขอบคุณมากๆ เลยนะค่ะ ที่ประสานงานให้,positive
อย่าให้ใบแจ้งหนี้มาแล้วค่อยหาเงินมาจ่าย มันจะเดือดร้อนตอนดอกเบี้ยบาน,neutral
ไม่หนี โทรไปccบอกประนอมหนี้ พนักงานจะงงๆหน่อย บอกพี่ติดต่อประนอนหนี้ไม่มีเงินจ่าย,neutral
เอาเงินเราไปลงทุนในหุ้นกลุ่มนี้เท่านั้นอย่างนี้เหรอแล้วต้องตอบโจทย์ 3 อย่างที่ผมพูดมาด้วยนะต้องขอโทษด้วยนะด้วยนะ,neutral
เขาก็จะมาถามว่า,neutral
ไม่ชอบ,negative
ผมทำแบบนี้มาตลอด มันจะน้อยลงเรื่อยๆ จนเดี๋ยวนี้ไม่มีประกันโทรมาหาผมแล้ว,neutral
นายก็ลงทุนแบบนั้น,neutral
คนชื่อว่า,neutral
โอนเข้าธนาคารเดินเข้าไปเลยก็ได้ครับแล้วก็ถามว่าไปลงทุนกับอะไร,neutral
เขาทำตามที่,neutral
กดเครื่องคิดเลขกดแล้วกดอีก เสียเวลาก็ยอม ดีกว่าเสียใจทีหลัง,neutral
แต่ยังหาที่ดีกว่าไม่เจอ,positive
เริ่มมองเริ่มฟังอะไรมากขึ้นประกอบกับน้องเองก็ต้องมีผลลัพธ์,neutral
เดี๋ยวก่อนนะ สรุปคุณทำอะไรให้ได้บ้างไหม ฟังฉันพูดให้จบก่อนก่อนจะพูดแทรกขึ้นมา คุณชื่ออะไรนะคะ คุณยังฟังลูกค้าพูดไม่จบเลย,negative
อะไรนะ กดยูเมะพลัส เหมือนหนี แมว  มาเจอเสือโหยเลย,neutral
บริษัทคุณควรจะอบรมพนักงานให้ดีมากกว่านี้ จะไม่ได้เกิดเหตุการณ์กับลูกค้าท่านอื่นอีก,negative
พ่อผมเดินบัญชีหลักล้านยื่นไปไม่ผ่านครับ,neutral
เวลาพี่สอนเรื่องการเงินส่วนบุคคลให้พี่จะให้ชวนนะ,neutral
เพราะจ่ายไป 3 งวดแล้ว,neutral
มันเป็นเหนียวไปแล้ว,neutral
จะนำเงินไปลงทุนด้านนี้,neutral
พี่เป็นน้องเขาพี่ก็คงเอาสิงคโปร์ดอลลาร์เลย,neutral
แต่ในมุมนึงในโดยส่วนตัวพี่พี่ก็เงินของสิงคโปร์เองก็ไม่น่าจะอ่อนเท่าไหร่นะ,neutral
ถ้าไม่ดีไม่มีอะไรมากคิดว่าการฝากไว้น่าจะง่ายที่สุด,neutral
การบริหารเงินของเราเป็นยังไง,neutral
แล้วมาเจอสถานการณ์แบบนี้แบบนี้,neutral
แล้วก็มีประสบการณ์ที่ไม่ค่อยดีเกี่ยวกับเรื่องของการเงินเท่าไหร่นะก็คือว่า,neutral
พอแจ้งยกเลิกไปก็ยอกมห้รอเจ้าหน้าที่ติดต่อกลับ,negative
มันเท่ากับว่าเราผ่อนเดือนละ 0.35,neutral
ไม่ได้ถ่ายครับรอเก็บตังค์แบบเยอะๆหน่อยครับผมขอบคุณล่วงหน้านะคะอะไรนะขอให้โค้ชและพี่โอมรักษาสุขภาพด้วย,neutral
สาขาสุราษฎร์,neutral
Shenzhen จัดซื้อจัดจ้าง,neutral
ถ้าแบบดีๆของรุ่นขายวันสุดท้ายก็เป็นขยะอีกประเทศหนึ่งต่อสิ่งแวดล้อมไม่ดีถ้างั้นต้องถามเลยค่ะ,neutral
สิ่งที่ต้องทำให้มีอะไรผิดเลย,neutral
น้ำเสียงไม่เต็มใจ พูดสวนลุกค้าเกือบตลอดทั้งสาย,negative
มันก็บ่นแล้วมันค้างๆๆๆ,neutral
bioelectrical,neutral
ความหน้าด้านมีมากกว่า,negative
 ลูกค้าขาเมื่อลูกค้าจะแจ้งให้ตรวจสอบรายการลูกค้าต้องมีข้อมูลให้เจ้าหน้าที่ค้นหาด้วย ,negative
GPS เป็นของคนอื่น,neutral
ปลพอเป็นหนี้จริง ๆ ลำบากกว่าเดิมอีกเยอะ ทีนี้เงียบเลย,neutral
ยอดเยี่ยม ดูแลดีมากครับ,positive
พนักงานให้ข้อมูลดีมาก อธิบายเข้าใจและใจเย็นมาก ประทับใจมาก,positive
เหตุการณ์ที่เกิดขึ้นนะครับเรื่องของตัว,neutral
ไม่พยายามช่วยเหลือ เน้นตาม process เดิมๆ,negative
โรงเรียนยังไม่เปิดเลยนะครับหลายที่,neutral
ยืมแล้วก็เชิดไปเสมอเลย,neutral
บริการดีมากเลย,positive
ธรรมดา,neutral
อาจจะเป็นเพราะด้วยส่งต่อเดือน,neutral
แต่คุณเป็นคนที่แบบช่วงมีนาคมที่ผ่านมาเนี่ย,neutral
เวลาถามก็มาพี่ก็จะกวนตีนกวนใจตัวเองมากนะทำไมถามอย่างนี้,neutral
sfx ส่วนใหญ่ลูกมันจะตายอยู่แล้วเปลี่ยนอะไรไม่ได้อย่างงั้นเรามาดูส่วนอื่นอาจจะเปลี่ยนได้,neutral
สะดวกดี ใช้เป็นถือว่าคุ้มมากๆ,positive
พยายามอย่ารีบอย่าเพิ่งรีบเหมือนเราเลย,neutral
หรือเป็นความตั้งใจดีๆของไอ้น้องมันขึ้นสินเชื่อลดต้นลดดอกก็จะสวยเลยครับ,neutral
เขียนบอกไว้แล้วเรียบร้อย,neutral
ซื้อเวปอื่นไม่มีปัญหาเหมือนเวปนี้แย่มากบอกเลย,negative
ส่วนใหญ่เขาจะใช้กับพวกธุรกิจอ่ะใช่ซื้อของมาเป็น US Dollar นะพี่กลัวเดี๋ยวค่าเงินมันจะไปแดก,neutral
เคลียร์มากเลยค่ะเดี๋ยวให้คะแนนเต็มเลยนะคะ,positive
จึงอยากขอคำแนะนำจากโค้ชว่ามีทั้งหมด 3 ข้อโดยการภาพ 3 ข้อด้วยกันนะครับ,neutral
nan,neutral
rov,neutral
แทรก แจ้งแจ้งหน้าที่หน่อยค่ะ รบกวนดูให้หน่อยค่ะ ว่ามีcode ย่อ หรือตัวกดเพิ่มเติมมั้ย ,negative
เจ้าหน้าที่บริการดี และบัตรขออะไรได้อย่างนั้น,positive
เอกสารถึงบริษัทยังก็ไม่รู้,negative
อายุงาน 3 เดือน,neutral
nan,neutral
ลงทุนในหุ้น,neutral
แม่ก็,neutral
อาจจะลองให้ธนาคารเขาทำตัวเลขหรือว่า 3 ปีเนี่ยถ้าเกิดว่าเราย้ายจากที่นี่มาเป็นที่นี่,neutral
แน่นอนเขาเรียกว่าไอ้ตัวท็อป,neutral
คนเดียวกับพี่หรือเปล่าหมายถึงถ้ายังไม่เลิกกับแฟนค่ะฮ่าๆๆ,neutral
ตามที่ดิฉันได้เรียนแจ้งไปเมื่อซักครู่นี้อ่ะค่ะ,negative
เราเองก็ต้อง work from home,neutral
ผ่านหลายพัน,neutral
เขาตอบฟังแล้วไม่ค่อยดีเท่าไหร่ น้ำเสียงและคำพูดที่ใช้ด้วย อยากยกเลิกบัตรเลยค่ะ เขาเช็คข้อมูลไม่มากพอ ควรใช้คำพูดที่ดีกว่านั้น,negative
อุปโภคบริโภค,neutral
เครียดมากแต่ไม่อยาก,negative
แค่นี้ทำไมทำไม่ได้,negative
ถ้าให้เลือกระหว่าง firstchoice กับ citi rewards ใช้บัตรใบไหนดีกว่ากันครับ,neutral
ตามนโยบาย lazada เค้าจะให้คูปองเราซื้ออะไรก็ได้,neutral
จริงถ้าบอกว่าหากมีโอกาสเก็งกำไรเรื่องทองเลย,neutral
ลักษณะที่เป็นตลาดทุนหรือตลาดการเงิน,neutral
เวียดนามเองในคนเน้นมาก,neutral
จัดการกับความเสี่ยงในการลงทุนได้มีความสุขแล้วก็เงินทอง,neutral
นักเรียนเก่งๆนะครับ,neutral
วันนี้,neutral
ไม่ดราม่า แต่ของเก่ายังไม่จบ,negative
บริการดีมาก,positive
ปล บัตรใบเดียวที่มีอยู่ อนุมัติไปเมื่อเดือนที่ผ่านมา,neutral
แล้วก็รู้สึกว่าเข็ดหลาบตลาดอันนี้,neutral
แต่ยังไม่ผ่านโปร,neutral
อะไรเงี้ยที่เพิ่มขึ้นแล้วก็สั่งอาหารมากินที่บ้านแต่ตอนนี้ก็เริ่มกลับมามากขึ้นใช่ไหม,neutral
พอจะต้องดิ้นรนมากยิ่งขึ้นต้องปิดกิจการชั่วคราวจู๋ 2 เดือน,neutral
เดี๋ยวถ้าเกิดมา 500 กกเขาบอกได้คำเดียวเราอาจจะแอบขอส่วนลดได้,neutral
อีก 1 เทอม,neutral
กรอกหูจากคุณพ่อตลอดเลยว่าอย่าไป,neutral
อันนี้ก็แล้วแต่,neutral
เอาเงินไปฝากธนาคารซะ,neutral
อันนี้คืออันที่ 1,neutral
ไม่ว่าจะเป็นบริษัทผมว่า 10 อันดับแรกของในตลาดผมคุยมาหลายที่,neutral
กระสุนที่เรามีด้วยนะ,neutral
ก็ไม่ต้องอนุมัติมาให้รำคาญดีกว่า,negative
คุณให้ข้อมูลได้อย่างชัดเจน และรวดเร็วมาก,positive
นะแล้วก็ลองทำกิจกรรมหรือว่าปีนึงแล้วก็มาสรุปกันตอนนี้หนูมีทรัพย์สินอะไรเพราะมีทรัพย์สินอะไรหนูมีสิทธิ์ตรงไหนเพราะมีตรงไหนยังไงเราต้องรู้กันไว้นะพ่อเลยเงี้ยเผื่อพ่อมีอะไรหนูมีอะไรจะได้คุยกันได้แล้วตลาดก็ไม่ต้องพูดถึงเรื่องร้ายๆที่อาจจะเกิด,neutral
ให้คะแนนเต็ม10 เลย,positive
แล้วเขาแจ้งไหมคะว่าสาเหตุอะไรถึงไม่ได้,negative
ท็อปไลน์ก็คือรายได้มันไม่เข้ากำไรมันไม่ได้ไม่เข้าเป้า,neutral
ความไม่ตึงของคนไทย ถือว่าดีกว่าเยอะ,neutral
ltf มีแต่อะไรไม่รู้พูดไปหมดแล้วแต่ยังไม่เลิกพูดเลยตั้งสติก่อนอาจจะเป็นเลือด,neutral
ติดต่อเรื่องมานานมาก เราก็เซ็งอะ แต้มเราก็ไม่ได้ใช้ เรารอมาเดือนนึง คุณก็ยังไม่ทำอะไรให้เลย คือเหมือนโดนหลอกว่าจะได้แต้มคืน,negative
เจ้าหน้าที่บอกว่าแจ้งไม่ได้,negative
โทรไปปุ๊ปรับปั๊ป,positive
ค่างวดในแต่ละเดือนมันถูกกระจายไปหมดแล้ว,neutral
ถ้าไม่รู้สองอย่างนี้ ก็ไม่รู้ข้อสรุปหรอก,negative
บริการดีมากคะ,positive
งงใช้อะไรวัดเกณฑ์บอกไม่ผ่าน,negative
ในขณะเดียวกันก็อัดฉีดเงินเข้ามาในระบบ,neutral
ตะกอนก็แตกต่างกันไปไม่ใช่ว่าซื้อ 2 ก้อน,neutral
จะมีการเรียกเก็บค่าประกันอีกเพิ่มเติมอีกไหม,neutral
ถ้าความรักไม่มีเรื่องเงินมาเกี่ยวข้อง,neutral
ใหม่ๆน่ะตื่นตาตื่นใจว่ะ,neutral
อาการคนเมนมา,neutral
ทั้งชีวิตทั้งนั้นเลย,neutral
ก็คือเอกสิทธิ์เนี่ยมัน,neutral
ชีวิตผมตอนนี้รู้สึกท้ายเลยครับ,neutral
แต่พี่เขาไม่ยอมยังไงก็ต้องได้วันนี้เท่านั้น,negative
japanporn,neutral
ไม่ธรรมดา,neutral
ให้เกิดสภาพคล่องให้ได้มากที่สุด,neutral
รู้สึกท้อกับกาสมัครบัตรเครดิตมากคะ,negative
บริการเยี่ยมเลย,positive
ไม่ได้สิไม่ได้สินะ,neutral
จุดพลิกผันเมื่อ ปลายปีที่ผ่านมา เศรษฐกิจแย่มากๆ เราเริ่มต้องถอนเงินเก้บมาใช้แทน,neutral
โอ๊ยคันมาก,neutral
ไม่จริง,negative
nan,neutral
จริงๆหนูจะปิดบัตรแล้ว พี่ให้คำปรึกษาโอเค เลยคิดที่จะใช้บัตรต่อ,positive
แล้วมันก็มาเข้าเงื่อนไขอีกว่า ถ้าจะผ่อนของเอไอเอสได้,neutral
ถ้าจะทำแบบนี้ ปิดธนาคารไปเหอะ,negative
ต้องไม่เกิน 1.5 แสนบาท,neutral
ธนาคารเอาหลักเกณฑ์ไหนมาตัดสินลูกค้าคะ,negative
เยี่ยมมากๆ สุดยอดมากๆ,positive
ก็น่าจะพอแบบเก็บไว้เป็นแหล่งที่มันเราเก็บเงินหรือบริหารจัดการเงินได้,neutral
เขาบอกว่าตอนนี้,neutral
กัปตันส่วนใหญ่ทั้งหมด,neutral
มันมากเกินไป,negative
ถ้าบอกเขาว่าจะทำประกันอุบัติเหตุด้วย ผ่านแน่นอน,neutral
ซึ่งคนประเภทนี้จะโน้มน้าว หลอกล่อ สารพัดวิธี,negative
รบกวนเข้ามาตอบหน่อยนะครับ,neutral
ขึ้นจนดับเมื่อกี้พี่หนุ่มบอกบัวหรือเปล่าขึ้นไปเรื่อยๆขึ้นไปเรื่อยๆแต่ทำไมเวลาประกาศดีๆดิมันลดลง,neutral
ผมว่าต้องต้องมอง,neutral
เหนื่อยนิดนึงแต่ของเราเนี่ย,neutral
น่ารักมากเลย,positive
แย่มาก,negative
บริษัทที่มีพนักงานเป็นหมื่นอ่ะ,neutral
คำถามยากมากหรอ,negative
บริการดีมาก,positive
พี่ขอชมนะ น้องพูดจาน่ารักจังเลย พี่ชอบ,positive
พอดีผมไปลองยื่นดูเงินเดือนผม2หมื่นกว่า,neutral
เจอน้องคนแรกเลยที่ให้คำแนะนำดี,positive
assistance,neutral
บางคนอาจจะชอบกองทุนมากกว่า,neutral
ยุ่งยากจริงครับ,negative
sgs,neutral
เรื่องที่น่าเป็นห่วงหรือว่าไม่สบายใจหรือกังวลใจของน้องเขาน่าจะเป็นเรื่องของข้อเท็จจริงมากกว่า,neutral
ถ้าตัดก็จะยอมโง่แค่เดือนเดียว,negative
หุ้นปันผล,neutral
เงียบไว้เงียบไว้อย่างเดียวอยากกินอะไรไหม,neutral
ตอนนี้เป็นพนักงานบริษัท ทำงานได้4 เดือน มีสลิปเงินเดือน,neutral
พี่ก็พูดเหมือนกันผมคุยกับผู้การที่ไหนก็เหมือนกันบอกว่า,neutral
ที่ผมเห็นมากก็คือว่า,neutral
เพราะว่าเรามีแววที่จะได้ไปอยู่ไปใช้ชีวิตอยู่ทำงาน,neutral
เรื่องของทฤษฎีหรือสภาพคล่อง,neutral
ถ้าจะแนะนำว่าเอาละกลุ่มที่พอมีอนาคต,neutral
ผมเหนื่อยละที่ไม่ได้รับการแก้ที่ตรงประเด็น,negative
ขอบคุณนะคะสำหรับการให้ข้อมูลที่ดี,positive
ครับเรียบร้อยครับพี่กลุ่มแรกเทคโนโลยีครับผมจะไปแกะและอิเล็กทรอนิกส์อย่าไปยุ่ง,neutral
โปรหายไปเยอะ แทบไม่เห็น,negative
ใช้เวลาปีหน้าครับค่อยว่ากันค่อยว่ากันแต่จะค่อยๆกลับมาจะเป็นวีดีโออยู่เนี่ยผมว่าอยู่ที่พักละ,neutral
ผมว่ามันมีมันมีสองมุมนะตอนนี้โลกเศรษฐกิจเนี่ยเท่าที่ผมได้คุยกับนักเศรษฐศาสตร์,neutral
น้องมีใจในการให้บริการลูกค้าดีมากเลย ช่วยเหลือและเต็มใจประสานงานให้ลูกค้า น้องใจเย็นมากตั้งใจช่วยลูกค้าจริงๆ พี่ขอบคุณน้องมากเลยนะคะ ดีใจแทนบริษัทที่มีพนักงานดีๆอย่างน้องค่ะ,positive
ผมก็สั่งวันเดียวกันสีเดียวกันราคาเท่ากันเป๊ะ แต่ผมสั่งตอน 7 โมงเช้าซึ่งน่าจะออเดอร์หลัง,neutral
ถ้าไม่ค้าง ข้อมูลบูโรก็ขึ้นปกติ,neutral
รีบวางสาย หายจ้อยไปเลย,negative
ส่วน porn,neutral
ซึ่งทั้ง 2 บริษัทในจะเป็นบริษัทในเครือของ ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน) ค่ะ และหาก,neutral
เห็นมันตกลงมาตรงนี้แล้ว 900 หรือไม่ถ้าวันนี้ 100 กว่าๆแล้วก็ยังมันยังเข้าได้หรือเปล่ายังไงก็อยากให้,neutral
ให้บริการดีมากเลย,positive
ตามนั้นลองเลย ถ้าไม่กลับมาบอกคือทำไม่ได้,neutral
เก็บไว้เพราะต่อไปสมัครยากมาก,negative
สักพักหนึ่งน่าจะผ่านมาหลายปีแล้วแล้วก็เอาที่ทำหน้าที่อย่างดีมาก,neutral
น้ายิ่งโอ้โหพี่โอมเล่าเรื่องในอดีตมาเก็บไว้เยอะเจ็บมาเยอะขนาดนั้นมันจะไปเปลี่ยนกันแบบพลิกฝ่ามือเนี่ยไม่ได้ขับแต่พี่เชื่ออย่างนึง,neutral
อะไรไม่รู้วุ่นวาย,negative
กูจะเก็บเงินกองเงินเป็นสกุลต่างประเทศไว้ดีไหม,neutral
มีเงินสดถึงครึ่งหนึ่งของหนี้ก็ไม่เลวเท่าไหร่,neutral
ตัวนี้มีอิสระทางการเงิน,neutral
คุณพ่อเนี่ยรับราชการครู,neutral
ทำให้ไม่ได้ ถือว่าด้อยกว่าค่ายอื่น ล้าสมัยสุดๆ,negative
บริการดีมากเลยค่ะ,positive
central the one luxe  1ล้าน,neutral
คุณอ่านให้ดี,neutral
แสดงว่าหลอกลวงนะคะ,negative
ผมมีบัตรเครดิตระดับเทพๆมากมาย วงเงินบัตรเครดิต 7 หลัก,neutral
ทำไรอ่ะเป็นไรอ่ะ,neutral
เลวร้ายหรือไม่ใช่ไม่ใช่เรื่องไม่ดีครับถ้ามันเป็นเรื่องจริงก็พยายามหยอดข้อเท็จจริงให้เขารู้ก็ดีนะครับเดี๋ยวพี่อ้อมหล่อจังเลยครับปกติครับ,neutral
เลือกซื้อได้ตามอัธยาศัย,neutral
